db,motion,speed,t,epsilon
results/abc_PRO_ABM_ready_summary_isotropic_lognorm_seed42_20260117_191218.db,isotropic,lognorm,5,15.840310080141217
results/abc_PRO_ABM_ready_summary_isotropic_lognorm_seed42_20260117_191218.db,isotropic,lognorm,6,13.743921352382715
results/abc_PRO_ABM_ready_summary_isotropic_lognorm_seed42_20260117_191218.db,isotropic,lognorm,7,12.676095391217897
results/abc_PRO_ABM_ready_summary_isotropic_weibull_seed42_20260117_191218.db,isotropic,weibull,-1,inf
results/abc_PRO_ABM_ready_summary_isotropic_weibull_seed42_20260117_191218.db,isotropic,weibull,0,66.42817575746756
results/abc_PRO_ABM_ready_summary_isotropic_weibull_seed42_20260117_191218.db,isotropic,weibull,1,48.33939721103818
results/abc_PRO_ABM_ready_summary_isotropic_weibull_seed42_20260117_191218.db,isotropic,weibull,2,40.24656063495261
results/abc_PRO_ABM_ready_summary_isotropic_weibull_seed42_20260117_191218.db,isotropic,weibull,3,32.14030054522306
results/abc_PRO_ABM_ready_summary_isotropic_weibull_seed42_20260117_191218.db,isotropic,weibull,4,26.76701996231751
results/abc_PRO_ABM_ready_summary_isotropic_weibull_seed42_20260117_191218.db,isotropic,weibull,5,22.047053086618305
results/abc_PRO_ABM_ready_summary_isotropic_weibull_seed42_20260117_191218.db,isotropic,weibull,6,19.480563857301043
results/abc_PRO_ABM_ready_summary_isotropic_weibull_seed42_20260117_191218.db,isotropic,weibull,7,18.670987279996012
results/abc_PRO_ABM_ready_summary_persistent_constant_seed42_20260117_191218.db,persistent,constant,-1,inf
results/abc_PRO_ABM_ready_summary_persistent_constant_seed42_20260117_191218.db,persistent,constant,0,58.72488965254006
results/abc_PRO_ABM_ready_summary_persistent_constant_seed42_20260117_191218.db,persistent,constant,1,42.479765794899265
results/abc_PRO_ABM_ready_summary_persistent_constant_seed42_20260117_191218.db,persistent,constant,2,33.74823980320845
results/abc_PRO_ABM_ready_summary_persistent_constant_seed42_20260117_191218.db,persistent,constant,3,26.360879447919686
results/abc_PRO_ABM_ready_summary_persistent_constant_seed42_20260117_191218.db,persistent,constant,4,21.52716363954277
results/abc_PRO_ABM_ready_summary_persistent_constant_seed42_20260117_191218.db,persistent,constant,5,19.11744978172534
results/abc_PRO_ABM_ready_summary_persistent_constant_seed42_20260117_191218.db,persistent,constant,6,16.96866864832251
results/abc_PRO_ABM_ready_summary_persistent_constant_seed42_20260117_191218.db,persistent,constant,7,15.690193783025553
results/abc_PRO_ABM_ready_summary_persistent_gamma_seed42_20260117_191218.db,persistent,gamma,-1,inf
results/abc_PRO_ABM_ready_summary_persistent_gamma_seed42_20260117_191218.db,persistent,gamma,0,78.87618593099677
results/abc_PRO_ABM_ready_summary_persistent_gamma_seed42_20260117_191218.db,persistent,gamma,1,40.88325248894319
results/abc_PRO_ABM_ready_summary_persistent_gamma_seed42_20260117_191218.db,persistent,gamma,2,29.640572723531083
results/abc_PRO_ABM_ready_summary_persistent_gamma_seed42_20260117_191218.db,persistent,gamma,3,20.591091546601636
results/abc_PRO_ABM_ready_summary_persistent_gamma_seed42_20260117_191218.db,persistent,gamma,4,16.868384768598364
results/abc_PRO_ABM_ready_summary_persistent_gamma_seed42_20260117_191218.db,persistent,gamma,5,15.134416570201234
results/abc_PRO_ABM_ready_summary_persistent_gamma_seed42_20260117_191218.db,persistent,gamma,6,12.807281284584166
results/abc_PRO_ABM_ready_summary_persistent_gamma_seed42_20260117_191218.db,persistent,gamma,7,11.601415056660427
results/abc_PRO_ABM_ready_summary_persistent_lognorm_seed42_20260117_191218.db,persistent,lognorm,-1,inf
results/abc_PRO_ABM_ready_summary_persistent_lognorm_seed42_20260117_191218.db,persistent,lognorm,0,105.78237301261662
results/abc_PRO_ABM_ready_summary_persistent_lognorm_seed42_20260117_191218.db,persistent,lognorm,1,49.94324025411553
results/abc_PRO_ABM_ready_summary_persistent_lognorm_seed42_20260117_191218.db,persistent,lognorm,2,34.36164318460804
results/abc_PRO_ABM_ready_summary_persistent_lognorm_seed42_20260117_191218.db,persistent,lognorm,3,26.010579970528116
results/abc_PRO_ABM_ready_summary_persistent_lognorm_seed42_20260117_191218.db,persistent,lognorm,4,20.203781877523724
results/abc_PRO_ABM_ready_summary_persistent_lognorm_seed42_20260117_191218.db,persistent,lognorm,5,17.237821001312227
results/abc_PRO_ABM_ready_summary_persistent_lognorm_seed42_20260117_191218.db,persistent,lognorm,6,15.178882040451072
results/abc_PRO_ABM_ready_summary_persistent_lognorm_seed42_20260117_191218.db,persistent,lognorm,7,13.763010792517987
results/abc_PRO_ABM_ready_summary_persistent_weibull_seed42_20260117_191218.db,persistent,weibull,-1,inf
results/abc_PRO_ABM_ready_summary_persistent_weibull_seed42_20260117_191218.db,persistent,weibull,0,76.38910833375962
results/abc_PRO_ABM_ready_summary_persistent_weibull_seed42_20260117_191218.db,persistent,weibull,1,41.19736661888181
results/abc_PRO_ABM_ready_summary_persistent_weibull_seed42_20260117_191218.db,persistent,weibull,2,27.95557652022282
results/abc_PRO_ABM_ready_summary_persistent_weibull_seed42_20260117_191218.db,persistent,weibull,3,21.02165205331459
results/abc_PRO_ABM_ready_summary_persistent_weibull_seed42_20260117_191218.db,persistent,weibull,4,16.840326013417766
results/abc_PRO_ABM_ready_summary_persistent_weibull_seed42_20260117_191218.db,persistent,weibull,5,14.547406475367815
results/abc_PRO_ABM_ready_summary_persistent_weibull_seed42_20260117_191218.db,persistent,weibull,6,12.69505542562748
results/abc_PRO_ABM_ready_summary_persistent_weibull_seed42_20260117_191218.db,persistent,weibull,7,11.74357914650614
