step,num_clusters,mean_cluster_size,mean_squared_cluster_size
71,93.97,15.763842284349609,502.6932502434777
72,90.58,16.540226718271086,565.0485921421624
73,88.57,17.11080322282668,613.053966553301
74,87.06,17.608485428950658,651.6300054998754
75,85.69,18.08860794836547,691.812269441744
76,84.4,18.5663774737817,731.1717067181031
77,83.27,19.02473902577384,771.6153537763676
78,82.19,19.484737577681994,809.528849860364
79,81.05,19.97026553600437,851.6229353122699
80,80.05,20.435246749729114,894.2802508947565
81,79.08,20.910009705647134,936.1565721895031
82,78.22,21.36533110354575,987.0447527672686
83,77.48,21.801635359975453,1027.9147956669508
84,76.74,22.25864647514527,1070.7604068220448
85,75.93,22.747846688645122,1122.435921201966
86,75.14,23.230578128299722,1172.9455344254163
87,74.53,23.680439645139064,1222.1797008340998
88,73.78,24.171615523136087,1271.7678765757585
89,73.2,24.62683992388887,1320.3094831515086
90,72.57,25.105519783739695,1369.0138014966878
91,71.98,25.58210411114293,1419.8714511217381
92,71.48,26.03380010732885,1466.5055647741697
93,70.68,26.60914822590338,1533.5687360052145
94,70.0,27.138871468577964,1604.6043545084153
95,69.35,27.6938141386476,1670.68975625646
96,68.71,28.24530552863817,1733.3780983459665
97,68.21,28.751386344252147,1794.6717798965228
98,67.64,29.292478911256435,1859.0449118388656
99,67.11,29.834955889746865,1930.6561287984907
100,66.56,30.387298132356158,1997.6163971771145
101,66.06,30.942006353583977,2071.0223096695404
102,65.55,31.50634430875959,2151.579067283117
103,65.06,32.07204080218199,2236.3151255316798
104,64.6,32.632840786325055,2315.9895016827663
105,64.14,33.20087872878057,2395.2255227144296
106,63.66,33.7825055667608,2483.8487055513233
107,63.09,34.43120087220361,2584.3870804682283
108,62.57,35.06193074001443,2670.8206149665043
109,62.05,35.7140046296556,2766.9411738382023
110,61.7,36.27416234371301,2848.5080060976975
111,61.31,36.86708770117841,2937.0014232282974
112,60.86,37.505581745183264,3043.78383266165
113,60.38,38.17475063145013,3146.0126820891933
114,59.81,38.920871585469676,3266.020834492256
115,59.49,39.50673814969576,3350.491148473853
116,58.95,40.262531726737805,3467.9554736118866
117,58.41,41.031086384361544,3589.4046156603686
118,58.01,41.71468290980137,3693.5082992012804
119,57.57,42.44202256247443,3818.510457463552
120,57.15,43.16295422915112,3932.934839778436
121,56.77,43.85439292115805,4043.8471641136944
122,56.38,44.57854746612259,4165.580459834023
123,56.03,45.27012028168173,4283.0158552825105
124,55.6,46.061641676837134,4429.773113460853
125,55.27,46.76067709818894,4559.095213249368
126,54.89,47.51942335928496,4687.824634509593
127,54.57,48.23886083413986,4822.226052353202
128,54.21,49.027705926363154,4962.217961605013
129,53.92,49.74251170227124,5103.613057513911
130,53.64,50.45238778234696,5239.124448689386
131,53.27,51.267188216568684,5393.777455518277
132,52.74,52.24376529646659,5598.622012096797
133,52.45,52.998119624755006,5738.471845478328
134,52.1,53.81542408637042,5933.667449283398
135,51.75,54.670779839831276,6107.95165842513
136,51.42,55.51054814791027,6281.580496120139
137,51.02,56.43781881353691,6507.916145597041
138,50.63,57.35934026804847,6691.259768993103
139,50.28,58.22790009607073,6894.053040485361
140,49.98,59.08602011704381,7103.2610289633985
141,49.64,59.984358921049306,7279.102221145972
142,49.39,60.80968423000957,7468.023268085428
143,49.13,61.63345399733825,7684.217485122678
144,48.73,62.672483888628136,7940.898684432697
