param,avg_distance,best_distance,S0_mean,S0_95_low,S0_95_high,NND_mean,NND_95_low,NND_95_high
750,1.5526289767193986,1.1717179734618648,106.65,94.9,116.52499999999999,72.68585139424799,65.5836902390739,79.48975670289607
760,1.6020483330599466,1.2013110218019925,106.69,97.0,119.52499999999999,72.89183437127545,65.58645000948798,80.35883915129087
770,1.6569043832270187,1.146332081464288,105.26,95.475,116.52499999999999,73.04285394445623,65.34263931209517,81.09705167398366
780,1.6734008395898146,1.2320224685813552,105.83,95.95,117.52499999999999,73.10489654190432,65.12460997035801,80.29110886471564
790,1.5817644477528945,1.0245751821631377,106.21,94.0,116.0,72.4719319053398,64.60950164346804,80.82780202960218
800,1.5726208776949133,1.0464419878289017,107.74,96.0,118.0,72.5526135003014,63.48565642248317,80.16447879981926
810,1.5707389196185155,1.0834823931061488,106.12,96.475,118.04999999999998,73.363993168868,66.3315358329401,80.2367089457126
820,1.6308499091839819,1.0645249778157602,105.57,94.475,114.0,73.5517947177467,67.65298346938647,79.88818064942089
830,1.5987907681414384,1.0719259018496974,105.98,95.475,117.0,72.95278781848958,65.56338867417307,80.64469855793638
840,1.6060648757138154,1.1675448546527059,106.66,96.475,116.52499999999999,72.75736600588861,65.96869141563273,80.67653007301921
850,1.5978126516236262,1.2179425187093182,106.02,97.0,115.52499999999999,73.02079222954478,66.19187627914887,80.99304452407087
