S0,S1,S2
353.5,4.852899575671853,59.693069306930695
344.5,4.984034833091437,61.05370101596517
339.5,4.8983799705449185,60.78645066273932
336.0,4.8184523809523805,51.345238095238095
318.0,4.880503144654089,53.18553459119497
316.0,5.056962025316456,56.65506329113924
309.5,4.783521809369952,47.53311793214863
303.5,4.800658978583196,47.179571663920925
296.0,4.918918918918919,53.68918918918919
288.5,4.752166377816291,46.48526863084922
281.5,4.928952042628775,58.314387211367674
275.5,4.9582577132486385,56.352087114337564
270.5,5.053604436229205,57.11645101663586
263.5,5.161290322580645,62.47438330170778
258.5,5.112185686653771,59.27852998065764
251.0,5.282868525896414,60.191235059760956
248.0,5.423387096774193,65.29435483870968
238.0,5.609243697478991,64.74369747899159
234.5,5.622601279317697,61.23454157782516
230.0,5.521739130434782,59.417391304347824
223.0,5.697309417040358,61.7017937219731
211.0,6.090047393364929,67.70616113744076
209.0,6.169856459330143,69.54306220095694
204.5,6.26161369193154,70.36919315403424
201.5,6.255583126550868,72.75186104218362
190.0,6.381578947368421,74.99736842105263
188.0,6.670212765957447,81.94148936170212
180.5,6.947368421052632,87.01385041551247
180.5,6.9944598337950135,88.7174515235457
175.0,7.1971428571428575,95.54571428571428
174.0,7.491379310344827,108.50287356321839
167.5,7.7880597014925375,115.24477611940299
160.0,8.3125,130.28125
156.0,8.474358974358974,132.9551282051282
153.0,8.797385620915033,148.97385620915034
147.0,9.374149659863946,169.38095238095238
141.0,9.815602836879432,188.4113475177305
139.0,9.906474820143885,189.9496402877698
136.5,10.157509157509157,195.21978021978023
134.5,10.234200743494423,190.3085501858736
130.5,10.60919540229885,198.02681992337165
128.5,10.883268482490273,208.5408560311284
127.5,11.090196078431372,234.10196078431372
118.0,12.296610169491526,284.1864406779661
115.5,12.974025974025974,317.5021645021645
115.5,12.995670995670995,309.31601731601734
110.5,13.624434389140273,350.6199095022625
105.5,14.431279620853081,399.92890995260666
103.5,15.019323671497585,477.0096618357488
101.5,15.571428571428571,498.3793103448276
98.5,15.82233502538071,504.8883248730964
98.0,15.928571428571427,503.57142857142856
95.5,16.146596858638745,505.24607329842934
