Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Date,Well ID,Cluster Centre x float,Cluster Centre y float
5546,333,1.759290041,927,755,Move,,71,3/16/2017,s074,926.6426426,755.0750751
3122,1446,15.9192841,943,616,Move,,71,3/16/2017,s074,943.417704,616.3305671
6342,599,4.244351347,941,7,Move,,71,3/16/2017,s074,941.4173623,6.866444073
2468,3013,47.88172538,960,430,Move,,71,3/16/2017,s074,960.2253568,429.9820777
5205,1668,19.72264526,955,1327,Move,,71,3/16/2017,s074,954.5239808,1326.675659
5399,1187,11.8398765,968,288,Move,,71,3/16/2017,s074,967.6293176,288.2064027
2449,1069,10.1190013,976,854,Move,,71,3/16/2017,s074,976.4565014,853.7362021
507,1889,23.76944443,989,1060,Move,,71,3/16/2017,s074,988.678666,1059.940709
1654,1577,18.13086958,990,192,Move,,71,3/16/2017,s074,990.2752061,192.0012682
3153,919,8.06574265,1004,30,Move,,71,3/16/2017,s074,1004.107726,29.62568009
6359,292,1.444592551,1003,657,Move large,[6359.0],71,3/16/2017,s074,1002.828767,657.1678082
6349,437,2.644802517,1018,917,Move,,71,3/16/2017,s074,1017.508009,917.1693364
6350,432,2.599541256,1018,746,Move,,71,3/16/2017,s074,1018.453704,745.7430556
