Tag number,Cluster size,Cluster volume,Cluster Centre x,Cluster Centre y,Event,Clusters in event,Timestep,Date,Well ID,Cluster Centre x float,Cluster Centre y float
3374,841,7.060981729,9,366,Move,,71,3/16/2017,s073,9.36979786,366.39239
4180,1093,10.46167772,16,1228,Move,,71,3/16/2017,s073,16.47666972,1227.591034
6305,681,5.145075616,15,474,Move,,71,3/16/2017,s073,14.53010279,473.6064611
3678,467,2.921772619,43,971,Move,,71,3/16/2017,s073,42.77730193,970.751606
3047,1526,17.25849394,53,705,Move,,71,3/16/2017,s073,52.96592398,705.1480996
2638,303,1.526985935,45,1069,Move,,71,3/16/2017,s073,45.32343234,1068.792079
6370,426,2.545572629,48,650,Move,,71,3/16/2017,s073,47.60328638,650.1103286
989,2360,33.19243385,65,882,Move,,71,3/16/2017,s073,65.29745763,882.0008475
1821,3560,61.49588996,99,108,Move,,71,3/16/2017,s073,98.61207865,108.3856742
3015,496,3.198111557,85,1141,Move,,71,3/16/2017,s073,85.04637097,1140.739919
6445,864,7.352612999,103,10,Move,,71,3/16/2017,s073,103.162037,9.866898148
4591,1052,9.87858415,115,324,Move,,71,3/16/2017,s073,115.1653992,324.1359316
45,1511,17.00465364,131,1092,Move,,71,3/16/2017,s073,130.6836532,1092.053607
3036,1331,14.05847384,136,829,Move,,71,3/16/2017,s073,135.5882795,828.5709992
3970,1358,14.48841072,149,293,Move,,71,3/16/2017,s073,148.622975,293.2864507
2298,1878,23.5621261,156,449,Move,,71,3/16/2017,s073,156.0756124,448.9637913
3685,832,6.947940385,146,1169,Move,,71,3/16/2017,s073,146.4795673,1168.855769
4918,842,7.073579375,149,1018,Move,,71,3/16/2017,s073,149.1211401,1018.219715
61,3117,50.38210369,191,587,Move,,71,3/16/2017,s073,191.4677575,587.376965
2705,2315,32.24761402,179,1219,Move,,71,3/16/2017,s073,179.4842333,1218.813823
5183,554,3.775163289,201,372,Move,,71,3/16/2017,s073,201.2545126,372.0902527
5928,2654,39.58425465,231,216,Move,,71,3/16/2017,s073,231.4517709,216.3575735
6493,493,3.16914035,220,435,Move,,71,3/16/2017,s073,220.1176471,434.7423935
609,1584,18.25172262,247,13,Move,,71,3/16/2017,s073,247.3301768,13.45959596
5287,2895,45.09661517,258,826,Coagulation,"[6395.0, 5287.0]",71,3/16/2017,s073,257.5882556,825.6124352
5075,1006,9.237789569,239,896,Move,,71,3/16/2017,s073,239.4294235,896.1968191
4636,588,4.127975235,257,1143,Move,,71,3/16/2017,s073,256.7772109,1142.814626
