scenario,mode,model,AIC,BIC,max_loglik,abm::phenotypes.proliferative.prolif_rate,ode::b,ode::N_0,noise::sigma0,noise::sigma1,noise::sigma2,ode::p,ode::s
abm_00_data_t71_phase2__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1745.0805223729244,1756.6008478389454,-867.5402611864622,0.005,0.0002839080359847095,1835.5507383585277,0.024398552232092433,0.09192148481301808,0.28398222639575643,,
abm_00_data_t71_phase2__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1332.9971875883934,1346.8215781476185,-660.4985937941967,0.005,0.000273978154779756,879.696972547873,0.010183660454474905,0.12747738523254598,0.029900564924355926,0.007786428677318513,
abm_00_data_t71_phase2__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1193.9587946732472,1210.0872503256765,-589.9793973366236,0.005,0.00029563544232364037,995.8247800898143,0.00838663603069724,0.010010208904040991,0.17826825785739342,0.005466192012065519,0.0014122640032193897
abm_01_data_t71_phase2__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1864.0911206762144,1875.6114461422353,-927.0455603381072,0.01,0.0002990265665917591,2151.9031583516607,0.008303062677308763,0.20137001883014274,0.5025947219643205,,
abm_01_data_t71_phase2__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1590.0301529994513,1603.8545435586764,-789.0150764997256,0.01,0.00027138483578851734,599.4507179091887,0.025165488357653105,0.020074231489909562,0.2575908390484499,0.012070805779575249,
abm_01_data_t71_phase2__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1592.0301560365706,1608.1586116889998,-789.0150780182853,0.01,0.00027138511442833423,599.4497946675137,0.02516381613082269,0.020074386672415616,0.25758036144480007,0.012070827808497678,0.0
