step,num_clusters,mean_cluster_size,mean_squared_cluster_size
71,92.39,16.167812605893545,529.130601597876
72,89.43,17.021552360155685,600.3856372213494
73,87.48,17.721759920889664,655.4895613259727
74,85.81,18.410075073354705,709.86323448833
75,84.19,19.10987623475281,763.0065532833537
76,82.95,19.749691096999417,812.7384638284292
77,81.82,20.379496007223498,866.2350754986296
78,80.81,21.005295138217893,918.7458763149721
79,79.84,21.63349734776148,972.6625481998992
80,78.9,22.28065032790413,1025.6797063991899
81,77.98,22.951724059784265,1080.4957177699785
82,76.92,23.68439480538078,1150.3640218610649
83,75.97,24.400141919091507,1219.9257446167646
84,75.16,25.08064184387958,1284.1598817243175
85,74.34,25.790445405683275,1357.2483837579366
86,73.47,26.551132170241463,1440.6966623047565
87,72.77,27.269395510716127,1511.9144993018533
88,71.85,28.07737732235336,1597.8380338095146
89,71.2,28.797261541695683,1678.6035245826974
90,70.5,29.5652402376823,1758.3112335587064
91,69.78,30.351185659837245,1849.012113291298
92,68.95,31.215913462562693,1947.3493039409689
93,68.09,32.1161633638877,2047.932870878149
94,67.4,32.94739965771257,2145.184558294082
95,66.68,33.82316607250917,2258.7075759662557
96,66.12,34.63577719960263,2366.8624011821425
97,65.45,35.52269165859653,2474.6535269659253
98,64.76,36.44139509585946,2597.734655634097
99,64.11,37.36929729997904,2714.168804899979
100,63.64,38.208945560922054,2836.552828724627
101,63.09,39.100586690556604,2954.8719415370406
102,62.43,40.09197534226586,3083.4066769509245
103,61.96,40.96842963691783,3208.472710931745
104,61.39,41.93350982742794,3340.2945318369952
105,60.96,42.81572892665762,3466.851160735121
106,60.42,43.791647111457806,3620.2896453521844
107,59.95,44.7277297217347,3768.2925872656597
108,59.39,45.76427344112794,3918.9347307134867
109,58.87,46.78663364673039,4087.774716465796
110,58.41,47.78874349909856,4237.041505969087
111,57.93,48.809510720101024,4410.919518660703
112,57.3,49.98224195034608,4613.617834052738
113,56.82,51.05955485602401,4782.507676978207
114,56.34,52.15584901149371,4969.852473788183
115,55.88,53.26340981744822,5161.920419335274
116,55.5,54.28911670796453,5339.672538444098
117,55.12,55.3216519533748,5518.483854488364
118,54.75,56.380440438091775,5700.388534910442
119,54.28,57.54432023865702,5905.755477934048
120,53.77,58.78296790258314,6135.237560089762
121,53.4,59.8754040051528,6342.418018898494
122,52.88,61.1781306463082,6596.745656445158
123,52.46,62.37242326918392,6824.060417473982
124,51.94,63.68299310550784,7109.38173740553
125,51.52,64.91733029428943,7350.450481866877
126,51.19,66.05662795141683,7581.046253587501
127,50.77,67.32055326108153,7855.24414151702
128,50.38,68.56754314124743,8118.80811400764
129,49.99,69.83779690214266,8388.085849014316
130,49.58,71.13964531450043,8654.32578597317
131,49.24,72.35401175597312,8926.644784471053
132,48.8,73.74867313719777,9268.402435922508
133,48.32,75.22274996037564,9590.06054561064
134,47.97,76.52262750883703,9859.386539465928
135,47.59,77.89464673568514,10165.036604727582
136,47.37,79.02047161018237,10452.102897737552
137,47.02,80.4020277624219,10754.601944575243
138,46.61,81.88561054055731,11125.542190991806
139,46.28,83.2254953031985,11429.093785686817
140,45.94,84.60672185952639,11787.712931111224
141,45.66,85.93146269529541,12132.343686745942
142,45.19,87.58867540184727,12598.134862462513
143,44.89,88.98079805663936,12988.96050424956
144,44.53,90.46289895792023,13356.869217132053
