parameter,dataset_a,dataset_b,overlap,js_divergence
adhesion,INV,PRO,0.4790000000000003,0.2755643904082094
fragment_rate,INV,PRO,0.4751999999999998,0.27987243587330146
heading_sigma,INV,PRO,0.4394000000000002,0.3559216197102144
merge_prob,INV,PRO,0.44739999999999996,0.3315754842090354
prolif_rate,INV,PRO,0.05800000000000005,0.8975581301823463
speed_scale,INV,PRO,0.3276000000000001,0.576117591354474
speed_shape,INV,PRO,0.41259999999999974,0.39373976511165076
