step,num_clusters_mean,num_clusters_lower_95,num_clusters_upper_95,mean_cluster_size_mean,mean_cluster_size_lower_95,mean_cluster_size_upper_95,mean_squared_cluster_size_mean,mean_squared_cluster_size_lower_95,mean_squared_cluster_size_upper_95
71,95.49,90.0,101.0,15.394982620523212,14.519554455445544,16.333333333333332,475.13252080200755,401.711,558.5622596754057
72,91.96,84.475,98.0,16.058193266394593,15.03061224489796,17.467647058823527,531.0426530131986,423.3253313696613,671.2114130434783
73,89.79,82.475,96.0,16.515542336676752,15.411197916666666,17.991272406699967,567.2901641072344,456.296758118701,744.8026129518069
74,88.16,81.0,94.0,16.88943425028584,15.786702127659574,18.423456790123456,598.4195680486744,477.82871909987807,763.946502259036
75,87.02,80.0,93.52499999999999,17.177413157653596,15.907918668496912,18.651875,619.824525782526,493.9379029304029,778.7019435975609
76,85.79,78.475,92.04999999999998,17.497311660187936,16.195684154555124,19.086781888997077,649.005430200404,518.7917307692308,889.7051885369525
77,84.67,78.0,91.04999999999998,17.802665780430267,16.41796497584541,19.347435897435897,678.6721585076426,536.5764015151515,938.3535256410253
78,83.68,76.0,91.0,18.090557835175343,16.560439560439562,19.90296052631579,704.5335619317126,541.059375,999.1213815789466
79,82.94,75.475,90.52499999999999,18.323734797769923,16.618141025641027,20.09875,721.8466980294963,564.2209770114943,1027.8659201514056
80,82.09,74.475,89.0,18.586064730487006,17.016573033707864,20.448450450450448,746.6004643781313,578.1385057471264,1098.4046118143453
81,81.26,74.0,88.0,18.846991238325334,17.26421731358529,20.615202702702703,768.1312033120379,589.4183139534883,1117.9612299007865
82,80.61,72.475,88.0,19.077487554748352,17.364609456635318,21.153125,789.0723252682751,601.4116014799155,1169.9507260101007
83,79.94,71.95,88.0,19.31679527906109,17.478879310344826,21.45341983407293,810.491807020785,620.4362767379679,1211.5927323943658
84,79.25,71.475,87.0,19.569335505723956,17.751436781609197,21.673987676056335,831.6252146137865,646.1278735632184,1217.4267746478868
85,78.54,70.475,87.0,19.831810720978538,17.809041700080193,22.209999999999997,854.9307171641362,650.8758620689655,1218.6098591549294
86,77.97,69.95,85.52499999999999,20.05253983213801,18.136183310533514,22.314972443355785,875.0513572137222,662.018448275862,1277.5966216216211
87,77.39,69.475,84.52499999999999,20.287041940970738,18.420707282913163,22.57392857142857,899.2727230736967,688.7059383753501,1316.680789522399
88,76.85,69.0,84.52499999999999,20.513898565810795,18.53127801120448,22.88478260869565,922.2143007647193,695.7837429971989,1342.2438356164382
89,76.26,68.475,84.0,20.757804465389356,18.69375,23.149200767263423,946.6681168960397,725.280547188755,1363.879252283105
90,75.57,68.475,84.0,21.033906425358026,18.80595238095238,23.23078111679454,970.67809486588,737.1357142857144,1401.1984457323497
91,74.94,68.0,83.52499999999999,21.28675148980785,18.98539156626506,23.488235294117644,994.5825952019345,741.7713414634146,1450.4163392213406
92,74.43,67.0,83.0,21.52619947716385,19.165060240963857,23.884328358208954,1017.219947706697,747.2632621951219,1481.3874269005848
93,73.85,67.0,82.0,21.77800420742024,19.440548780487806,24.007835820895522,1041.0213968457354,765.5557228915662,1491.9815423976609
94,73.19,66.475,80.52499999999999,22.055191013427624,19.782893518518517,24.318351424694704,1066.4365541568168,784.5004367469879,1526.4674319248825
95,72.59,66.0,79.52499999999999,22.332247660409934,20.19845332278481,24.641666666666666,1093.3558708303303,840.2745131450828,1551.6335947503198
96,72.19,65.0,79.0,22.54061749709735,20.429430379746837,24.954615384615384,1113.8450202776457,846.9232199367088,1564.5573303457104
97,71.67,64.0,78.52499999999999,22.80450048795287,20.692685004868547,25.45390625,1138.3900766342556,866.360197368421,1587.077792207792
98,71.29,64.0,77.52499999999999,23.02216369563873,20.996628371628372,25.710156249999997,1158.4298071927594,884.2595526315789,1639.2115675618072
99,70.78,64.0,77.52499999999999,23.284935072716415,21.08131868131868,25.81796875,1188.0189284914431,900.6695128205128,1672.9531196489725
100,70.27,63.0,77.52499999999999,23.540653601073068,21.10094905094905,26.30039682539682,1215.9849276411244,913.5003118503118,1702.248039215686
101,69.8,62.475,77.0,23.798322286471038,21.319480519480518,26.53377016129032,1244.3850060968048,936.8337795765879,1716.4061274509802
102,69.38,62.0,77.0,24.03184584968211,21.472402597402596,26.931214797747057,1269.9837594746145,942.821160933661,1729.271977124183
103,68.9,61.475,76.52499999999999,24.29851946470394,21.676136363636363,27.329177683765202,1298.814354312915,955.3530405405405,1741.5636029411764
104,68.57,60.95,76.0,24.508441350557046,21.900328947368422,27.44629032258064,1323.7703724585779,956.3182162162162,1783.4488648307756
105,68.19,60.95,75.52499999999999,24.756449600799296,22.138758771929826,27.822620967741926,1352.7019834991981,969.1940724815724,1855.46685064935
106,67.71,59.95,75.0,25.038364945440343,22.27519298245614,28.37817449291469,1380.5898371083108,986.7010135135135,1874.3203571428567
107,67.29,59.95,75.0,25.29360766302862,22.679716216216217,28.48718393998332,1410.9045391390785,1026.6704044798223,1911.6795454545452
108,66.86,59.425,74.0,25.560616896993018,22.898310810810813,28.90157574901073,1441.2023646939138,1054.9637634209553,1934.6919674688056
109,66.37,58.0,74.0,25.86271092608602,23.209806553128473,29.63970054446461,1478.127447366174,1099.4147522522521,1968.5144683257918
110,65.94,57.475,73.0,26.14201479266126,23.365475749722325,30.07978675136116,1506.7860792114852,1115.6398743814236,2015.0986032388662
111,65.58,57.0,73.0,26.393309140995143,23.526929840799706,30.487280701754383,1539.529878510152,1129.333887012012,2046.595203637295
112,65.22,56.475,73.0,26.651472298473962,23.660616438356165,30.96145833333333,1579.0425245754152,1155.6514964788732,2191.7151785714286
113,64.75,56.475,71.52499999999999,26.95009843189205,24.307017801251956,31.032291666666666,1613.211255484587,1184.9200704225352,2205.726339285714
114,64.25,56.475,71.0,27.272686547080472,24.503521126760564,30.91950431034482,1654.0098220612626,1209.1203491784038,2264.761296912832
115,63.99,56.0,71.0,27.4994452636416,24.624295774647887,31.275,1678.5347161219374,1226.4545046506598,2284.2906401331716
116,63.74,56.0,71.0,27.71122862812009,24.850804828973843,31.397321428571427,1705.1440672693166,1255.1551522369512,2314.299252696456
117,63.29,54.95,70.0,28.019406882177876,25.106021126760563,32.07589285714285,1740.6269926772916,1261.237862782757,2430.2626277139207
118,62.98,54.475,70.0,28.267340099863123,25.1925,32.65972222222222,1771.598171787113,1288.2002400768247,2446.3352490421453
119,62.71,54.475,70.0,28.50754496072319,25.35892857142857,32.7912037037037,1803.1815429262797,1316.7560064935064,2492.353879310345
120,62.32,54.475,69.0,28.804307609367843,25.782391304347826,33.06457070707071,1840.7426804014115,1347.3562180306906,2533.901893472906
121,62.02,54.0,68.52499999999999,29.064646091861007,26.225953751065642,33.203257575757576,1873.8623934263424,1382.8269174208144,2560.247413793103
122,61.61,54.0,68.52499999999999,29.380277930161537,26.30647378516624,33.55524013722127,1912.1666145364156,1413.2938461538463,2610.7993194192377
123,61.4,53.475,68.0,29.598471175735853,26.53639705882353,33.81391509433962,1942.8894073345102,1444.4389479638007,2746.6070175438576
124,61.16,54.0,68.0,29.82581802618821,26.75110294117647,33.82292929292929,1975.68026165395,1454.4703280542988,2765.9758771929805
125,60.82,53.475,67.52499999999999,30.110725049512265,26.867487928007023,34.01396226415094,2011.7669778291718,1500.9512273755656,2843.991076555023
126,60.49,53.475,66.52499999999999,30.39603117463702,27.555574400723653,34.74261006289308,2054.0295021052602,1525.0919117647059,2884.4860623781674
127,60.09,52.475,66.0,30.717127061881634,27.71931818181818,35.153601233671985,2095.563654889893,1558.5251049440299,2950.8242138364776
128,59.79,52.0,65.52499999999999,30.99633505478261,27.985576923076923,35.49716981132075,2143.1919228197526,1584.5330366290984,3050.901938250428
129,59.56,52.0,65.52499999999999,31.249504145810658,28.139493006993007,35.96947835738069,2180.6035628277955,1596.1690487132353,3180.2174499229573
