timestep,S0,S1,S2,NND_med,g_r40,g_r80
105,245,7.895918367,140.6959184,54.40440106,0.479287507,0.82872835
106,244,7.979508197,146.4672131,55.60951859,0.366876196,0.963410959
107,242.5,7.995876289,144.6061856,54.77699106,0.324737403,0.997574071
108,237,8.208860759,154.685654,55.51695159,0.377704589,1.033621505
109,232,8.342672414,156.3987069,55.58378905,0.24700927,0.933648343
110,231.5,8.483801296,166.4708423,54.84950685,0.413197511,0.91879267
111,229.5,8.494553377,161.1786492,56.10275592,0.282794112,0.851204284
112,227,8.517621145,161.9008811,56.25866815,0.427862001,0.890647204
113,221.5,8.889390519,181.006772,56.14604464,0.457205672,0.82652062
114,218,8.96559633,178.7545872,56.79204915,0.278360911,0.737779694
115,216,9.118055556,185.1458333,57.52011437,0.318170961,0.846100612
116,215.5,9.155452436,191.4709977,57.13723614,0.356896245,0.782380941
117,214.5,9.440559441,203.9393939,56.89949035,0.237392816,0.715066561
118,206,9.752427184,215.6262136,57.8688675,0.304644647,0.555077582
119,203,10.12807882,234.1034483,58.45757082,0.262238104,0.780849442
120,203.5,10.01474201,240.0540541,60.06211965,0.307893018,0.9014834
121,200,10.2025,246.6575,60.04896227,0.408155846,0.821895551
122,196.5,10.33842239,245.9770992,60.09356198,0.275979374,0.759413574
123,194.5,10.62210797,252.3804627,61.31947539,0.325156845,0.890473843
124,193.5,10.70284238,260.4341085,61.4249825,0.235317836,0.760636793
125,192.5,10.7012987,246.3636364,60.58527267,0.192870903,0.486762019
126,192.5,10.55844156,229.4571429,60.29762738,0.117286779,0.729319327
127,189,10.90740741,256.4047619,60.93581184,0.286477679,0.821557672
128,186,11.08333333,242.0026882,61.08224533,0.312026769,0.850359859
129,184,11.25815217,252.6059783,62.6170905,0.133152198,0.705726528
130,182,11.45054945,270.3296703,62.60500023,0.166845719,0.942021154
131,182,11.59340659,275.9340659,62.79312828,0.121473928,0.951552655
132,180,11.56111111,272.2444444,62.66222447,0.113946894,1.164763201
133,179.5,11.57103064,272.8969359,63.38728827,0.126531481,0.848667773
134,175,11.88571429,283.3085714,63.98872325,0.124845055,0.77018636
135,178,11.66011236,276.761236,64.99666415,0.132633709,0.871992432
136,175.5,11.92022792,295.4928775,64.79756756,0.127550621,0.83816615
137,175,11.8,290.0685714,64.80352745,0.181038205,0.791241186
138,171,12.34210526,305.9795322,64.14954109,0.226139234,0.773858132
139,169.5,12.56342183,316.4041298,65.2496399,0.323790874,0.743807087
140,171.5,12.42274052,306.3236152,65.60930439,0.098234109,0.658372891
141,167.5,12.80597015,328.6208955,65.62208999,0.14758915,0.984713186
142,164,13.11280488,334.3567073,65.99211003,0.139847605,1.063891741
143,163,13.17791411,335.5705521,66.52490166,0.054347876,1.037282802
144,161,13.4068323,334.5310559,67.31139927,0.056649368,0.814510243
