,IC,min_disc
prolif_rate,105273.98346042668,105267.39178669467
speed_sdlog,167884.2586535782,167877.6669798462
speed_meanlog,171494.32806882405,171487.73639509204
adhesion,178975.5852087803,178968.9935350483
merge_prob,178975.5852087803,178968.9935350483
fragment_rate,185507.96181188646,185501.37013815445
