,adhesion,fragment_rate,merge_prob,prolif_rate,speed_meanlog,speed_sdlog
IC,153500.33125720941,191479.70928780315,153500.33125720941,136471.04414407857,163951.08596028097,158658.17191403746
min_disc,153493.7395834774,191473.11761407115,153493.7395834774,136464.45247034656,163944.49428654896,158651.58024030545
