,IC,min_disc
speed_meanlog,160894.5181201127,160887.9264463807
fragment_rate,161190.98239232352,161184.39071859152
prolif_rate,163223.2778005978,163216.6861268658
speed_sdlog,177777.99289140577,177771.40121767376
adhesion,179752.6269259574,179746.03525222538
merge_prob,179752.6269259574,179746.03525222538
