step,disc_med,disc_q05,disc_q95
22,47.08012683027448,44.15644702979263,60.23459168845862
23,47.349256036721414,43.88976462630663,59.23121847130194
24,46.39088539846537,42.514680178685374,57.91574425383232
25,37.04124419642021,32.13015304105745,54.86641818878058
26,34.18106904735177,30.640438618572702,45.46234238044041
27,37.56616605722485,33.057491868847755,50.572086933204666
28,28.218386623470316,22.03934705376675,44.2351775771775
29,26.522253556768725,19.7378947659305,45.96554384292526
30,29.791286683375112,22.875288624119793,46.555826924709145
31,21.849467002182084,13.019391228955163,41.30799083207907
32,29.23451425405489,22.290518425642748,41.970660977570695
33,25.42307855448185,17.612887737566325,42.91062929970987
34,24.482692642315484,15.831863941256334,40.08189243985994
35,25.455902162605913,17.237708884194184,39.15615014854435
36,20.946432011466108,10.756734429280737,37.301595419337616
37,17.975424468584016,7.834363541696599,38.07353708380662
38,20.105030730386222,9.127729296187145,38.06229633711708
39,15.383962234922317,4.9001558799725,33.15679447323235
40,14.45020990981283,2.721189594380592,33.5522319527724
41,15.293628738042578,3.67015446234288,39.11863438912131
42,16.702169019450885,5.861889920628206,40.17046548184243
43,17.59344743057082,5.639437746532921,34.832863648343604
44,20.292106429679208,6.919972087821301,40.084532945317314
45,24.79852677965108,8.510930729860343,41.25160567984256
46,27.018220803734277,9.113947510192947,48.48861292566449
47,32.04276166013301,14.473639813264832,51.54129004416274
48,30.539503260124683,12.65981688641093,48.7366152663132
49,32.6781037909193,14.248335345171272,52.34837355923012
50,35.62404316575008,15.107565940854256,58.656585972190044
51,35.87828512844457,16.623081982252014,59.92270856517904
52,31.490911653129384,12.403709430414265,63.90574449235341
53,33.280225125512345,15.581640125807052,64.79888559509823
54,33.196740550050585,13.016935997042314,59.940499053213536
55,36.65226759852143,14.43483925883238,74.95750779625911
56,33.57391693262204,11.272885930745542,65.73168254276105
57,35.09740226195813,13.012043889746332,72.4035706503353
58,35.43502274888147,15.289198340973012,73.9570777233118
59,36.956068775658764,15.773144724805796,78.99122271665448
60,39.6197149540088,18.516521491297354,87.96722924886748
61,47.46046453228422,17.597052759944507,113.26442622979431
62,52.276445556849005,23.60106777356787,124.43962656532668
63,54.10071749052645,22.09880140969866,128.45201268092043
64,47.7629974195274,14.877839076200301,136.77982474603266
65,46.00683758122054,24.127365505666553,119.00204134933531
66,47.37023577691208,25.950258718993393,129.9756328825768
67,45.96448573455226,19.55922609908315,121.04525127796654
68,51.04359030207587,20.148650529904394,153.13998107918516
69,63.58249363121065,25.000025727641003,158.5199766058082
70,104.51693746139756,23.824810651555115,221.20829458643308
71,105.38096201915889,30.29374961483562,231.78324458784294
72,88.74000176872403,27.507197358181458,230.0024697600337
73,72.37884320978907,26.323117414823923,208.7371620501399
74,64.6818368559706,29.31200724804757,193.55754570313047
