,IC,min_disc
prolif_rate,114720.8514426312,114714.2597688992
speed_sdlog,125435.34084549778,125428.74917176577
speed_meanlog,169704.609028467,169698.017354735
adhesion,174893.6406014562,174887.0489277242
merge_prob,174893.6406014562,174887.0489277242
fragment_rate,183164.8027957093,183158.2111219773
