param,elasticity
adhesion,2012486.8197985853
fragment_rate,148368681.20150802
merge_prob,1913298.6110769836
prolif_rate,-48355681.00820117
speed_meanlog,1459656.1823128585
speed_sdlog,901994.4817816301
