PC0,PC1,PC2,PC3,PC4,PC5
speed_meanlog,merge_prob,prolif_rate,fragment_rate,adhesion,speed_meanlog
speed_sdlog,adhesion,adhesion,prolif_rate,merge_prob,speed_sdlog
adhesion,prolif_rate,fragment_rate,speed_sdlog,prolif_rate,merge_prob
fragment_rate,speed_meanlog,speed_sdlog,merge_prob,speed_sdlog,adhesion
prolif_rate,fragment_rate,merge_prob,speed_meanlog,speed_meanlog,prolif_rate
