S0,S1,S2
18.0,277.22222222222223,170625.0
26.0,387.4230769230769,196119.73076923078
17.0,518.1764705882352,335585.1176470588
25.0,320.32,186206.88
15.0,483.1333333333333,300847.5333333333
15.0,483.1333333333333,300847.5333333333
13.0,469.6923076923077,410789.23076923075
19.0,469.63157894736844,286086.5789473684
25.0,320.32,186206.88
21.0,304.5238095238095,172727.57142857142
23.0,359.2608695652174,205719.95652173914
22.0,348.77272727272725,212572.95454545456
17.0,496.0,421098.1176470588
16.0,380.75,210891.0
22.0,358.95454545454544,209114.77272727274
22.0,358.95454545454544,209114.77272727274
18.0,373.5,314835.1666666667
23.0,346.17391304347825,201178.26086956522
16.0,323.5,227774.25
16.0,457.0,322650.75
21.0,349.2857142857143,188235.38095238095
24.0,310.375,166028.20833333334
16.0,457.0,322650.75
18.0,277.22222222222223,170625.0
20.0,314.4,180548.8
16.0,405.25,198312.625
17.0,387.8235294117647,231250.29411764705
12.0,473.1666666666667,410298.6666666667
22.0,442.22727272727275,257144.22727272726
15.0,434.3333333333333,260061.4
20.0,413.5,240730.3
23.0,413.0,227869.52173913043
22.0,366.77272727272725,190565.86363636365
26.0,387.4230769230769,196119.73076923078
24.0,393.9166666666667,238348.33333333334
16.0,374.3125,282017.9375
18.0,373.5,314835.1666666667
21.0,428.9047619047619,254261.66666666666
16.0,485.6875,366946.3125
16.0,323.5,227774.25
17.0,519.0588235294117,356425.29411764705
22.0,370.77272727272725,185181.31818181818
17.0,514.9411764705883,376558.5882352941
26.0,386.03846153846155,208513.26923076922
21.0,394.8095238095238,228903.2857142857
19.0,388.10526315789474,268563.5789473684
19.0,374.94736842105266,190408.84210526315
14.0,387.92857142857144,238081.64285714287
20.0,400.3,264386.5
22.0,358.95454545454544,209114.77272727274
22.0,348.77272727272725,212572.95454545456
17.0,388.47058823529414,248880.23529411765
25.0,340.4,207207.52
28.0,296.4642857142857,147800.39285714287
25.0,320.32,186206.88
19.0,463.2105263157895,383041.0
21.0,428.9047619047619,254261.66666666666
23.0,389.04347826086956,234382.69565217392
15.0,434.3333333333333,260061.4
22.0,437.77272727272725,307633.2272727273
19.0,394.1578947368421,244686.15789473685
22.0,399.6363636363636,227623.9090909091
20.0,396.35,232454.85
19.0,320.36842105263156,187289.1052631579
14.0,406.14285714285717,331588.71428571426
19.0,392.10526315789474,285142.0
24.0,310.375,166028.20833333334
30.0,365.2,166003.66666666666
17.0,427.88235294117646,281819.76470588235
22.0,416.72727272727275,229269.54545454544
17.0,388.47058823529414,248880.23529411765
23.0,389.04347826086956,234382.69565217392
18.0,321.72222222222223,170957.72222222222
16.0,374.3125,282017.9375
21.0,304.5238095238095,172727.57142857142
19.0,414.10526315789474,241290.31578947368
17.0,388.47058823529414,248880.23529411765
17.0,427.88235294117646,281819.76470588235
19.0,320.36842105263156,187289.1052631579
19.0,372.5263157894737,272171.4736842105
