S0,S1,S2
314.95,2.7726506377364024,13.412197952898273
308.8,2.8923122924633713,14.343954305217292
297.95,3.0078792384739406,16.145831070864695
288.0,3.133249421943761,17.176420783710373
281.0,3.2108948526679812,18.57531201021652
274.95,3.3220879131780485,20.46546962422126
268.0,3.4743467359919444,21.678892032060347
260.0,3.566500998213723,23.345102062975027
253.95,3.705665436512513,25.28770211048322
245.0,3.8506272927366103,27.60495002004057
240.95,3.9848616125150422,29.30158855044772
234.9,4.113120567375887,32.138590459240085
230.9,4.284494699160127,35.06505298784886
225.95,4.41506228363884,37.08347446715041
218.0,4.636575725885827,40.57916707170863
213.0,4.762100942535725,43.17589492886976
210.0,4.89144255319149,46.55259173553719
205.95,5.080674908967736,50.096431703943594
201.95,5.246351739670705,53.59211309523809
198.95,5.3796668913064405,57.29584284627093
194.0,5.547947057344064,60.904030001006745
188.0,5.669964454976304,64.50193982144826
184.0,5.863101045296167,69.37240131966537
181.0,6.0709759119961735,72.78041132366337
175.0,6.3043988569095735,79.09456789818971
169.95,6.466221158146754,83.88629596865916
166.95,6.636102816761222,86.80738658344724
163.95,6.846644808743169,91.11300927793465
161.9,7.085685431886549,98.83055998405739
158.95,7.2295108695652175,106.95326015816744
155.0,7.489835747349559,113.45345166512489
153.9,7.653840400525079,121.90081551286698
149.95,7.838753342245989,128.2266033966034
147.95,8.095832400447787,134.3436466673599
143.0,8.327003666841279,142.87822295247724
142.0,8.59834405263547,150.11638874937216
139.0,8.885139263252471,159.97285714285715
138.0,8.94159678546471,169.90066383888546
136.0,9.123180379746836,177.74664772727274
132.0,9.525893528596873,190.40227692888135
129.95,9.64084428514536,194.27914611005693
127.95,9.92458064516129,204.51645551396487
126.95,10.21151625033575,223.01829494154416
123.0,10.529301619433198,235.73394916142558
122.9,10.824772351969804,250.4911355311355
120.0,11.266753856830194,266.4148036465638
119.95,11.506700647764681,276.5217545132904
117.9,11.686812943262412,287.2380392557759
114.95,11.973956294846706,291.64908675799086
112.95,12.224153951486699,317.9925966394716
109.95,12.40228880212754,332.11737927565395
108.9,12.743810444874274,344.48926148627817
107.85,12.951570512820513,368.1157149037422
