,IC,min_disc
prolif_rate,136471.04414407857,136464.45247034656
adhesion,153500.33125720941,153493.7395834774
merge_prob,153500.33125720941,153493.7395834774
speed_sdlog,158658.17191403746,158651.58024030545
speed_meanlog,163951.08596028097,163944.49428654896
fragment_rate,191479.70928780315,191473.11761407115
