,adhesion,fragment_rate,merge_prob,prolif_rate,speed_meanlog,speed_sdlog
IC,179752.6269259574,161190.98239232352,179752.6269259574,163223.2778005978,160894.5181201127,177777.99289140577
min_disc,179746.03525222538,161184.39071859152,179746.03525222538,163216.6861268658,160887.9264463807,177771.40121767376
