,adhesion,fragment_rate,merge_prob,prolif_rate,speed_meanlog,speed_sdlog
IC,178975.5852087803,185507.96181188646,178975.5852087803,105273.98346042668,171494.32806882405,167884.2586535782
min_disc,178968.9935350483,185501.37013815445,178968.9935350483,105267.39178669467,171487.73639509204,167877.6669798462
