replicate,timestep,S0,S1,S2,NND_med
0,22,274.0,3.72992700729927,23.10948905109489,42.68878004902096
0,23,267.0,3.857677902621723,25.415730337078653,43.50039481281397
0,24,262.0,3.9427480916030535,26.591603053435115,44.83142791142093
0,25,260.0,3.996153846153846,27.403846153846153,44.19225093251495
0,26,252.0,4.154761904761905,30.05952380952381,45.29121398534926
0,27,244.0,4.315573770491803,32.01229508196721,44.76995541765894
0,28,240.0,4.408333333333333,33.108333333333334,44.35198338112241
0,29,235.0,4.523404255319149,34.89787234042553,45.0565812455672
0,30,231.0,4.619047619047619,36.57575757575758,44.88130218730851
0,31,226.0,4.734513274336283,38.743362831858406,46.41572361575868
0,32,220.0,4.872727272727273,41.1,48.339494965830994
0,33,218.0,4.931192660550459,41.75688073394495,49.39193916265397
0,34,213.0,5.084507042253521,45.16901408450704,49.984420414211286
0,35,207.0,5.280193236714976,49.309178743961354,51.08735634601221
0,36,204.0,5.387254901960785,50.71078431372549,50.50300316268942
0,37,201.0,5.512437810945274,54.19900497512438,49.21984475344638
0,38,198.0,5.636363636363637,56.505050505050505,49.7954744949015
0,39,193.0,5.803108808290156,58.73575129533679,49.89977146090433
0,40,187.0,6.026737967914438,65.72727272727273,51.426222373101254
0,41,183.0,6.213114754098361,70.33333333333333,53.440268536783684
0,42,181.0,6.30939226519337,72.04419889502762,52.989335545703526
0,43,178.0,6.47191011235955,76.03370786516854,54.94945313821656
0,44,175.0,6.611428571428571,79.35428571428571,55.376014432034275
0,45,175.0,6.64,80.06857142857143,55.50773465763679
0,46,173.0,6.728323699421965,81.26011560693641,53.74570674412211
0,47,169.0,6.928994082840236,85.72189349112426,53.25940145699126
0,48,165.0,7.121212121212121,89.18181818181819,54.21235868708848
0,49,160.0,7.375,96.9125,55.79270295094433
0,50,159.0,7.459119496855346,99.63522012578616,54.67516949048502
0,51,151.0,7.880794701986755,110.43708609271523,55.831514848581776
0,52,149.0,8.026845637583893,114.02684563758389,55.00117359782761
0,53,148.0,8.114864864864865,116.07432432432432,55.59925534708351
0,54,146.0,8.280821917808218,119.95205479452055,56.0549798085909
0,55,145.0,8.427586206896551,122.86896551724138,54.56719018131458
0,56,141.0,8.702127659574469,139.8368794326241,55.91865519835394
0,57,139.0,8.884892086330936,145.23021582733813,57.34747415253608
0,58,136.0,9.125,153.11029411764707,63.711842016639125
0,59,135.0,9.222222222222221,156.7037037037037,63.68076146655877
0,60,132.0,9.477272727272727,167.7651515151515,63.697311704619764
0,61,129.0,9.751937984496124,177.2248062015504,65.76828148058704
0,62,127.0,9.976377952755906,183.8031496062992,66.03274797473148
0,63,125.0,10.176,194.944,67.87538007758633
0,64,124.0,10.314516129032258,199.50806451612902,67.59264848836975
0,65,124.0,10.379032258064516,202.86290322580646,66.4109894411223
0,66,121.0,10.652892561983471,213.97520661157026,66.30247280220283
0,67,121.0,10.685950413223141,216.10743801652893,67.37080981175242
0,68,121.0,10.743801652892563,219.0082644628099,67.80445932720122
0,69,118.0,11.084745762711865,228.23728813559322,69.12927974875524
0,70,116.0,11.318965517241379,243.33620689655172,73.03113550970025
0,71,115.0,11.478260869565217,252.83478260869566,69.91168992046879
0,72,111.0,11.945945945945946,275.2072072072072,70.46042477680555
0,73,110.0,12.118181818181819,290.3545454545455,68.64142946052115
0,74,108.0,12.398148148148149,303.0833333333333,70.284144755671
1,22,264.0,3.893939393939394,27.015151515151516,42.55987763471275
1,23,258.0,3.996124031007752,28.600775193798448,42.870438954311766
1,24,252.0,4.123015873015873,30.115079365079364,41.94680563944286
1,25,242.0,4.301652892561983,34.14462809917355,44.448033545602804
1,26,233.0,4.497854077253219,38.8412017167382,46.14427443776554
1,27,228.0,4.614035087719298,42.60526315789474,46.5857569055987
1,28,226.0,4.699115044247788,44.24778761061947,46.007451189363
1,29,218.0,4.9036697247706424,48.940366972477065,48.08623611951037
1,30,214.0,5.02803738317757,53.0,48.09945776232398
1,31,208.0,5.1875,55.69711538461539,46.307822972837414
1,32,203.0,5.354679802955665,60.33990147783251,47.74690671607236
1,33,194.0,5.644329896907217,66.04639175257732,49.44678310870958
1,34,190.0,5.78421052631579,68.5,48.55010422965688
1,35,183.0,6.027322404371585,74.8360655737705,49.24648729614635
1,36,180.0,6.161111111111111,77.49444444444444,50.50806378064554
1,37,176.0,6.346590909090909,80.58522727272727,52.764849957367446
1,38,171.0,6.56140350877193,86.72514619883042,51.45913494833063
1,39,162.0,6.987654320987654,95.19753086419753,53.52084185372249
1,40,162.0,7.030864197530864,96.64814814814815,51.722507079824304
1,41,159.0,7.182389937106918,101.40880503144655,52.292493777621175
1,42,156.0,7.326923076923077,105.92948717948718,53.497201924281
1,43,153.0,7.490196078431373,109.13725490196079,55.19809324016281
1,44,153.0,7.529411764705882,109.84313725490196,56.412066520871
1,45,148.0,7.837837837837838,118.82432432432432,59.64461205273297
1,46,146.0,7.97945205479452,125.13013698630137,59.07582057574677
1,47,145.0,8.117241379310345,128.35172413793103,60.368328451331756
1,48,141.0,8.390070921985815,137.68085106382978,60.066623771808544
1,49,140.0,8.5,140.28571428571428,58.2166639912846
1,50,138.0,8.673913043478262,162.47101449275362,59.40583328981998
1,51,133.0,9.052631578947368,172.1654135338346,61.25385851357332
1,52,131.0,9.213740458015268,181.6259541984733,59.601351110957204
1,53,128.0,9.46875,188.578125,60.15534980497186
1,54,126.0,9.666666666666666,201.93650793650792,61.64319434237307
1,55,122.0,10.057377049180328,216.5327868852459,63.38658825540728
1,56,118.0,10.466101694915254,235.72033898305085,64.26759465694933
