stage,merge_prob,adhesion,fragment_rate,heading_sigma,dist_s,dist_scale,init_n_clusters,nnd_rmse,s0_rrmse,s1_rrmse,s2_rrmse,penalty,score
4,0.8390510285690713,0.9500409225171841,0.0010344743242691058,0.39072906036246574,0.8451431411654677,3.268057663821616,914,6.535052897687912,0.20361350525811617,0.13404668031287376,0.34860136373500333,1.522148689931195,8.057201587619106
4,0.8290191809438128,0.9056224047456255,0.0022711376057913445,0.32933304239347955,0.8826306737277407,3.3122668768019743,924,5.57745859828648,0.2463563797295129,0.17669992750531618,0.4367132417240193,2.8306962145353225,8.408154812821802
4,0.8422577133663434,0.8352522267117484,0.0025514257594049343,0.5952481650905336,0.8398848770280843,3.306483265268568,957,7.838720673240707,0.15321837763325413,0.12419224718238729,0.2738196493359154,0.7381964933591539,8.576917166599861
4,0.799480364128721,0.9143830762190048,0.000399084555805184,0.3780464700979034,0.8966403393550955,3.4042066315317543,934,5.196916472731387,0.22839658056995807,0.1642849903100946,0.5112149892414921,3.3961156981145018,8.59303217084589
4,0.8445341451006019,0.9516295890193459,0.0018897880142022974,0.29394762681311426,0.850350896794084,3.2509771969182677,898,6.506565596272269,0.22669398422574433,0.15599209814237963,0.38325084168964874,2.0994482591539305,8.6060138554262
4,0.797909022250613,0.8786113057201388,0.00027994733415516974,0.4986319881940172,0.8948737791623208,3.283909078792128,929,6.870321047213022,0.21609964408467466,0.1464870104820672,0.3687476249942884,1.8484726907896307,8.718793738002653
4,0.8145825609470692,0.9503301562916885,0.0008767181020829252,0.4608992227842028,0.8846783898087668,3.2902545142654143,977,5.870375121269024,0.21423549780634554,0.1891949081034923,0.4774330093699794,2.916685071763249,8.787060193032273
4,0.761100938324224,0.8654251158181299,0.00021558381422222714,0.4787070205003226,0.890977399554734,3.3361635473180518,983,6.107420736442564,0.21844774171806036,0.20160606636053635,0.45921010147289115,2.792639095514878,8.900059831957442
4,0.844096434306901,0.8366321150273627,0.0006859026099717228,0.4356332596268316,0.8433886012873861,3.3921002101403657,953,7.811572186792699,0.1871799532854475,0.13784112488034367,0.34354254125039546,1.4354254125039545,9.246997599296654
4,0.80914086894507,0.8894054382127312,0.0002798571297735441,0.2902517040855864,0.8146909884749444,3.2548723288106567,962,6.793351709384197,0.18319629068342333,0.1504933750224811,0.4456777051568846,2.456777051568846,9.250128760953043
4,0.8499156310967968,0.9077433977098179,0.0002819330373589268,0.5457801247707673,0.8708355810684568,3.220097411258722,956,8.002287930899808,0.1843394573126542,0.15375245742022633,0.35127002662789425,1.5127002662789424,9.51498819717875
4,0.8276565503468548,0.937321852571268,0.0015683100506514612,0.4787095958578968,0.8640369705016032,3.4157661302815328,901,7.928618500312714,0.20151374634960234,0.1221390425468787,0.359263177376493,1.607769237260953,9.536387737573667
4,0.8415904983444399,0.8855676940102948,0.0004064731615071721,0.4603642337780978,0.8701726364930068,3.188002139597387,922,8.557925539119086,0.17530468831174315,0.1305837506788618,0.3083661921909198,1.083661921909198,9.641587461028283
4,0.8747832891137287,0.8660880503860614,0.00025619037399973586,0.6030067652127467,0.8742538360765418,3.4360258986826606,893,8.359620039104692,0.20714327464262383,0.1362939580016301,0.322720541173211,1.2986381581583477,9.65825819726304
4,0.885151573484243,0.9506982589994138,0.0008712035641099827,0.5143887981096265,0.8271664991945163,3.323371358988579,965,7.454477953717798,0.19839093384695303,0.17848182146026711,0.4242565803543591,2.2425658035435907,9.697043757261389
4,0.7589924602407409,0.8714340565891714,0.0002675838220157586,0.509413564925423,0.8499093549455289,3.336491690309035,920,8.376065514136855,0.18181548150012145,0.12976071914621815,0.332896685456122,1.3289668545612199,9.705032368698074
