step,num_clusters,mean_cluster_size,mean_squared_cluster_size
1,681.42,1.1883045941669728,1.5976905063291655
2,621.34,1.3179689680311737,2.107768180800166
3,579.83,1.4282574370234398,2.600614525385382
4,545.81,1.5348649407571489,3.119466816919802
5,517.61,1.637726251516772,3.6680142303514782
6,493.36,1.7375064660965296,4.241608427251311
7,472.31,1.8350733148947287,4.842080056947599
8,453.06,1.935168868554339,5.498272519950046
9,435.96,2.034217153365737,6.177117503618117
10,420.02,2.1351124900381544,6.925797532360102
11,404.67,2.2410913650709676,7.737276634927278
12,391.41,2.343147955331145,8.572721042400334
13,377.86,2.454694474524578,9.524365684715765
14,365.97,2.563771539527414,10.500916106047075
15,354.36,2.6799992212503634,11.595321334508101
16,343.65,2.79357721456579,12.731018909648196
17,333.9,2.9085536762172906,13.933690013486604
18,325.0,3.0209504915876026,15.11763154875987
19,316.19,3.140122260526448,16.487563449128398
20,308.08,3.2590250886605356,17.830460676957653
21,300.51,3.3779919779002165,19.296978519886686
22,293.15,3.5008595275931684,20.856486227197596
23,286.24,3.6241554454000973,22.47122335481794
24,279.92,3.7471740037677246,24.22751086039061
25,273.1,3.882287459671773,26.140096576676825
26,266.99,4.014011772767701,28.05044325459318
27,261.28,4.146167066230743,30.070612212627733
28,255.48,4.288390447749418,32.29405888130424
29,250.14,4.42943204648865,34.495582260649655
30,244.89,4.57407960100768,36.870901419912975
31,239.41,4.73265015127511,39.67431738563517
32,234.56,4.88591890880512,42.4554299610501
33,229.89,5.039830476391129,45.34181510522032
34,225.34,5.199721292021926,48.3153120759628
35,220.95,5.36061207527967,51.56477658052658
36,216.86,5.521031174990934,54.819075099320386
37,213.06,5.682132759562891,58.21858319365879
38,209.65,5.841099680791508,61.734746718942795
39,205.98,6.008947922891714,65.58111528724075
40,202.78,6.170497772837202,69.4954384759496
41,198.94,6.358712228806107,73.86438589605059
42,195.37,6.5485856665574795,78.379049617781
43,192.17,6.731516446030201,82.8023606354442
44,188.93,6.925087036913335,87.85881588804037
45,185.78,7.118632274536611,93.13088927181049
46,182.59,7.324510966029924,98.69383837971783
47,179.85,7.519374774354665,103.92479685078055
48,176.92,7.728899700717252,109.81316959733905
49,174.2,7.9333237760319495,115.9134351950849
50,171.24,8.162805473999203,123.0343491353422
51,168.7,8.376553597007327,129.5775438909774
52,166.1,8.60213416607757,137.04119010728883
53,163.73,8.826061882156093,144.34589380674274
54,161.39,9.050972179256014,151.98594298332694
55,158.94,9.288273728462139,159.97605790852097
56,156.79,9.519153790777619,168.34289228617473
57,154.43,9.771998185514148,177.83478533382805
58,152.02,10.040504546918694,187.79375113750305
59,150.24,10.272987413323456,196.6291594056534
60,148.19,10.528159445441586,206.49131789460964
61,146.09,10.804113234231062,217.49040437852074
62,143.95,11.084139414386378,228.63976002729123
63,142.16,11.345223299546134,240.43107037905438
64,140.43,11.607124566973487,251.56190044032172
65,138.44,11.907593368197297,265.04508143366724
66,136.6,12.208002475520432,279.0283434782434
67,134.64,12.524663368911595,293.92088135895705
68,133.1,12.806916986736077,307.4867511812709
69,131.32,13.125297718539692,324.1652802404498
70,129.83,13.425292090159155,339.3788420306866
71,127.92,13.777650230481733,357.7161111732753
72,126.18,14.119735175144228,375.5452454238508
73,124.65,14.449789662332941,392.4188140568821
74,123.1,14.795603484128108,411.1511843257229
75,121.68,15.134919385334332,429.4432483065757
76,120.22,15.490280506071294,450.440619458789
77,118.77,15.851811863178805,471.51884155384226
78,117.36,16.219837290362133,493.9160364003212
79,116.18,16.563619338091744,516.1272819679433
80,114.83,16.938130300866124,540.53913939886
81,113.58,17.306285754767444,566.4449445162064
82,112.21,17.71514360637322,594.4465931832715
83,110.88,18.13405979760082,624.1271440463717
84,109.57,18.551073922110675,652.6636056722791
85,108.26,18.980589754963756,683.1294571260593
86,107.08,19.403641789082133,713.5766419657847
87,105.93,19.827986931764123,744.3570859584675
88,105.0,20.227438490961422,774.1626951482482
89,103.92,20.665550343693397,807.4365999790112
90,102.74,21.12768286454303,843.2953537960805
91,101.39,21.64668400672349,883.4761350830522
92,100.27,22.13509009566176,922.5133881064938
93,99.15,22.63516208377619,965.5896839092826
94,98.2,23.10166711877631,1004.3784376455625
95,97.13,23.617404861425186,1049.0198582704243
96,96.2,24.1183324631292,1095.4304265793837
97,95.13,24.64750350944699,1141.443404292909
98,94.16,25.167787452579155,1192.157927421886
99,93.15,25.72381352714157,1245.3404878144045
100,92.23,26.277319967874924,1299.010121190777
101,91.14,26.88263930590663,1359.0687786923047
102,90.21,27.452652360327612,1412.8746944923
103,89.25,28.045034506668728,1472.9132927805324
104,88.32,28.648853116196005,1535.0559061256117
105,87.57,29.197191921526642,1593.684058654116
106,86.74,29.783900073608283,1658.2420323255712
107,85.82,30.421647001347907,1730.5313944150955
108,84.96,31.066303482729484,1805.8374402881277
109,84.03,31.75516144477642,1886.903800971456
110,83.22,32.40632322889718,1961.3551706866385
111,82.34,33.1002850340351,2044.6303718461559
112,81.44,33.81502465750632,2132.820618753793
113,80.6,34.534091526102145,2218.8245159972516
114,79.76,35.263573559890446,2316.873731804847
115,78.93,36.003138111037174,2418.003218992871
116,78.15,36.73386441832843,2508.903628920893
117,77.47,37.440910921604804,2608.14148188927
118,76.86,38.1468802368548,2702.3812812145457
119,76.19,38.88467306921766,2801.0685639073245
120,75.35,39.717539066272245,2919.61693980582
121,74.67,40.476440285624506,3026.422676197879
122,73.99,41.26789931485552,3141.234488335651
123,73.34,42.055421481962824,3259.9647446475724
124,72.72,42.8403255722445,3376.501199289616
