p_merge,n_init,avg_fit,best_fit,final_S0,final_S1,final_S2,final_NND
0.45,600,2.3456140124305134,1.8239694169519558,129.94,10.543201333905587,221.22711261404822,63.47776852056757
0.45,650,2.088118904901239,1.5514848172302205,129.0,11.406442663688951,257.849417720042,63.753478731965224
0.45,700,1.7785405724121242,1.1730473603558478,128.29,12.4096825601653,308.1499692108107,64.49593167997813
0.45,750,1.4971275433784605,1.104738634527283,127.01,13.394903127303348,363.238118599096,65.39370964650111
0.45,800,1.3163360618687199,0.9578065175707757,125.28,14.504170391946962,419.0330095120812,65.4538054098061
0.45,850,1.2585849393956532,0.9828046187789224,125.12,15.509991793854423,484.1030095228579,65.56312375861948
0.45,900,1.3382975541843651,1.0375707825269138,123.77,16.534951768464975,545.5039991456063,66.53825184179641
0.45,950,1.6689679525927774,1.2048299492182555,122.5,17.62457040725349,628.8010767177492,66.8681572175799
0.45,1000,2.102348183943727,1.2832563230738356,120.98,18.81577532156396,711.7365149854996,67.55806787129535
0.45,1050,2.5700314349818196,1.5703371187586055,119.51,19.951209257255236,793.6520629602045,69.28414969019686
0.45,1100,3.145494159972364,1.968565503298377,118.27,21.12013096161567,890.4355700538383,69.27269078742972
0.475,600,2.329108919984728,1.75791716201811,127.97,10.649127643921647,221.85009148757547,63.54417448644247
0.475,650,2.026575113359128,1.5353027469145824,126.96,11.63371877667093,266.4203576956605,64.47933652064893
0.475,700,1.6713034894289394,1.188005591581142,125.58,12.740874858817504,323.091856308229,65.42856339795699
0.475,750,1.470244582973503,0.9939529845888079,125.46,13.623574411844778,366.80191117382327,65.21456600209105
0.475,800,1.28842955405083,0.9912487659362117,124.76,14.574961053992144,428.67330566409794,65.82008653255129
0.475,850,1.265752788015198,0.9599212704635358,122.24,15.861089831426346,498.93439479867453,67.07434854449114
0.475,900,1.396336651490596,1.1078427567978255,122.41,16.680133409521883,558.5237142881595,66.99933669559282
0.475,950,1.7691454434064968,1.2142130342952653,119.67,18.113055536384834,651.1278264316164,68.05643547837553
0.475,1000,2.1224920127796922,1.2765106428555655,119.31,19.057817652413696,717.0614674363183,68.38796458748226
0.475,1050,2.705576269824483,1.649412971795418,117.75,20.316546319671076,811.4130328120907,68.98141200834583
0.475,1100,3.336604299692803,2.070923908068804,116.85,21.414626808890212,914.881294532445,68.79999754295866
0.5,600,2.2719643921382437,1.7054227473124577,126.66,10.79742188666341,228.56234921679507,64.1491534793954
0.5,650,1.9977649022557327,1.596795851649558,125.78,11.688869266128618,270.1637590829138,64.79127233844062
0.5,700,1.6541367114816705,1.2503231143228926,123.68,12.863754968784415,327.4310373196656,65.33344298494836
0.5,750,1.4039530402348068,1.0918211627769832,123.48,13.844599142235964,382.6995569039457,66.50054271440503
0.5,800,1.276718594671334,1.0348922469075281,122.61,14.907408509230565,436.55230491117874,66.87083190470388
0.5,850,1.2660021401383137,1.0498992492138581,121.49,15.891323607499226,498.1989661117246,67.23769368289464
0.5,900,1.4621299488395467,1.0296988526851725,121.23,16.892580338958332,567.3006880229213,67.16500536287245
0.5,950,1.8359447188452283,1.128125108161549,118.48,18.23727980818937,664.8624037233214,68.27422945728044
0.5,1000,2.296079132899731,1.3733224174400427,117.69,19.351989126700023,742.6189778903241,69.17514620612756
0.5,1050,2.8133328546706218,1.7499191636464537,116.57,20.587263325144278,825.4227716327534,70.06204525969473
0.5,1100,3.6507773060362094,2.219794099895771,113.99,21.982943707660514,966.3939541989371,70.40575384441456
0.525,600,2.188459759582828,1.7188866526191027,123.11,11.093234383408323,241.93504612937576,66.07100143949835
0.525,650,1.9394251764291284,1.3632527367038019,124.01,11.887083550600114,278.29947689014665,65.53373524347751
0.525,700,1.6488827484863762,1.205244867658552,123.16,12.892713391513293,328.474010475532,65.99706216932148
0.525,750,1.3950242702268096,0.969030895668018,122.17,13.933541805161896,382.14763945620894,66.95513757989299
0.525,800,1.2626835896079465,1.0877524195913997,120.77,15.086034443011835,451.4661816502119,66.93535171172161
0.525,850,1.2880600088858223,0.9952810140239834,120.29,16.017369016206224,512.8804104405706,67.26577041282826
0.525,900,1.5704327759524717,1.100973976086436,117.88,17.405200564369093,598.8831069050883,68.00238797082052
0.525,950,1.9602356983731648,1.2439587720876044,116.36,18.575168640931008,688.2590894553572,68.68430203954978
0.525,1000,2.493108323855722,1.6245770082401092,115.37,19.772149306961126,775.8649527911326,69.49763671413567
0.525,1050,2.9727158821091,1.667255526100506,114.91,20.802750925877003,856.7479112390906,70.0838449387924
0.525,1100,3.7338100918090578,1.999222361661017,112.8,22.185619304434102,965.4618438084535,70.47525300120029
0.55,600,2.1755049678243195,1.5372475728601633,122.98,11.115936256273951,244.67104237474902,66.4509101259148
0.55,650,1.8666723817183917,1.343885504284999,122.04,12.121931523028303,292.4193131046031,66.16737482284773
0.55,700,1.5954312560592054,1.2043898671748392,122.1,13.02954130520609,338.9081559830204,66.35630624788436
0.55,750,1.3811258604686938,1.136899003106225,120.89,14.058074095062606,387.90117240773964,66.73670352571466
0.55,800,1.2506836685639013,0.977083654458847,120.64,15.115450333370802,453.70374091882405,67.52647115059446
0.55,850,1.3409717713170468,1.0108321511058833,116.3,16.628917062859706,541.4323649107336,68.71764670638798
0.55,900,1.5788178820179117,1.0856529985305172,117.3,17.472999904175442,604.1304549714955,69.03455821726334
0.55,950,1.985539774114166,1.2773156377679327,115.9,18.64731780005892,686.7455167317473,69.04230555433139
0.55,1000,2.5300976025456587,1.4545958697452948,114.87,19.752395503304722,783.0294404810934,70.08856710560666
0.55,1050,3.2577008984181357,1.8312905019040342,112.21,21.300469571556206,903.7592097515911,70.87210357502053
0.55,1100,3.866256146734686,2.3552189736712337,111.78,22.386812023713787,988.9847202349897,71.47110075863753
0.575,600,2.167939157056128,1.6431791032649212,121.71,11.206199468689238,245.12647270350436,66.02229721784082
0.575,650,1.8737323181318106,1.3922885832533305,122.04,12.100602546139253,289.3599617989005,66.12682114917703
0.575,700,1.554403501816,1.0720500802986102,119.93,13.317065837220493,345.25155965041813,67.03232448602456
0.575,750,1.351397680513112,1.060025584764355,119.75,14.267895334384889,403.99539624069394,67.69867157982485
0.575,800,1.2633349354494579,0.9831200479402238,117.84,15.413663153355069,468.5668630298393,68.15632956709791
0.575,850,1.3218351411930471,0.9757488766101832,118.6,16.304634244639434,524.3483240627667,68.533475511869
0.575,900,1.6660378258980004,1.1179799972558722,114.99,17.84849085739196,624.0168253475426,69.26264152121324
0.575,950,2.075960208732113,1.2189273637351312,115.51,18.72135121900781,701.4308996246386,69.58536545465465
0.575,1000,2.6630142430599877,1.606571155643633,113.23,20.044769519810988,804.9150323668308,70.32652995835662
0.575,1050,3.2614430930225753,1.9256386599624598,111.79,21.354517593884985,895.3915174594688,70.79251107242078
0.575,1100,3.953463488491522,2.5571820946638177,110.86,22.63026686519639,1007.6479775617013,72.1556738802089
0.6,600,2.133587957763216,1.6821377470831105,121.25,11.218407594262404,251.54644354193337,65.65120127066285
0.6,650,1.822078957454127,1.2472213420600025,120.02,12.281471293596447,297.2766642430477,66.67004721131539
0.6,700,1.538817068940631,1.1202275461332956,119.21,13.344816579418783,350.7492622251224,67.43660832058134
0.6,750,1.3617006281426591,1.0689614978160284,119.73,14.275880287593855,400.69237507555954,66.58238037057181
0.6,800,1.2685307538134412,1.0738949261700548,117.27,15.542122560836452,473.49558219015955,68.80809098562504
0.6,850,1.3457711391921032,1.023438285412362,116.93,16.47732564003455,541.5628174465451,68.58462156932971
0.6,900,1.7337962955567157,1.130408606971942,114.96,17.827100041575246,634.3110932423155,69.20008156659429
0.6,950,2.256944855070616,1.3037014333997283,112.43,19.203801779380342,732.2376991616504,71.01392544810541
0.6,1000,2.7257904869955003,1.542551642569599,111.82,20.302179150344465,817.2080135474915,71.71768659258358
0.6,1050,3.4395744934911594,2.215900113909955,110.64,21.655934319940783,920.1114768617573,72.45036470132955
0.6,1100,4.173002495961145,2.661182623334412,109.14,22.95721560604798,1045.6175681045488,72.6389697937055
