,IC,min_disc
prolif_rate,101251.03281574511,101243.34252972444
speed_meanlog,116553.15072544754,116545.46043942687
speed_sdlog,145162.45003286577,145154.75974684508
init_n_clusters,149130.03982263754,149122.34953661685
adhesion,176663.03407990423,176655.34379388354
merge_prob,176663.03407990423,176655.34379388354
fragment_rate,179872.19089175516,179864.50060573447
