S0,S1,S2
264.0,2.7689564459930316,12.98666724738676
259.75,2.838237588652482,13.961347517730497
254.6,2.988014705882353,15.27597371396269
252.55,3.1025646219917347,15.982651986227452
243.75,3.1811201298701297,17.373785614664275
239.85,3.319923185769153,18.762174087444848
233.85,3.4005361718904,20.37833309013084
230.75,3.5301416694015972,21.63766052720514
223.0,3.630012860657571,23.07205859616574
219.95,3.7443653233151184,25.056495450191573
216.95,3.884159757862877,27.143939785047166
211.0,3.997966101694915,29.422806633861853
206.9,4.160863357688755,31.468283682232958
203.8,4.298536721258595,33.338536014469625
199.9,4.454549162022023,36.351698588602055
194.0,4.624996968227019,38.667850917431196
190.95,4.7588727678571425,40.81913845175648
189.0,4.932820329277022,43.78052387893337
186.8,5.073802666227781,46.771537306162216
184.0,5.2164407630522085,50.50913197172035
180.95,5.3597697282344585,53.23558972050419
176.0,5.5680777790568285,56.09299621256954
171.9,5.775191459502807,61.54471559253124
170.8,5.975391065461181,64.02207172392471
168.75,6.1444846082089555,68.12080714846819
161.95,6.358441558441558,72.77481962481961
158.95,6.561032590621882,78.57641891142889
157.65,6.739016018306636,83.82895935907402
151.85,6.9624236312081615,89.33218214678611
148.85,7.081670458238545,94.19625265364255
146.85,7.295078502415459,101.06840596330275
146.8,7.603699380194002,108.36791217357411
145.75,7.79387278098024,114.99267163605171
144.7,8.058637016718913,124.26816829686398
139.9,8.266845878136202,130.47204082226037
137.95,8.541637618010167,138.79769189479333
134.95,8.800371932515336,148.16737125859825
134.8,8.943134171907756,156.4026830808081
131.85,9.075878606808711,165.62445677707305
129.85,9.377174127715602,173.88691865956403
125.9,9.745944220430108,185.30756189660542
122.95,9.947916666666668,194.1327125748503
122.85,10.281632653061225,204.85571007081037
119.95,10.527642539800075,218.16676844985528
118.0,10.780759803921569,228.0878568232662
116.75,10.87209695066838,238.70254457116977
114.8,11.341967328392924,252.16033116449785
113.7,11.583747797634029,260.2380916030534
108.9,11.794755244755246,271.91954038328083
108.0,12.034615823073416,282.74946396173516
106.85,12.151011029411764,303.6036494944632
105.95,12.220105698529412,308.20706793343953
104.9,12.523081481481482,319.63115384615384
