,IC,min_disc
speed_sdlog,143437.73740143652,143428.94850312718
speed_meanlog,152244.30027959208,152235.51138128273
prolif_rate,153034.85563081555,153026.0667325062
init_n_clusters,155511.77978890153,155502.9908905922
adhesion,180997.5397634079,180988.75086509855
merge_prob,180997.5397634079,180988.75086509855
heading_sigma,192584.50828102298,192575.71938271364
fragment_rate,228263.64843373522,228254.85953542587
