param,elasticity
adhesion,-286543.53707090055
fragment_rate,131507782.1128229
heading_sigma,-7378245.419766078
init_n_clusters,-160.9947315323755
merge_prob,-265995.7471032793
prolif_rate,-25405736.562931076
speed_meanlog,-415460.71366557275
speed_sdlog,-2415202.789503318
