param,elasticity
adhesion,1657237.674565475
fragment_rate,37523725.098047234
init_n_clusters,-1124.907425072618
merge_prob,1712035.8188672008
prolif_rate,87532063.17805007
speed_meanlog,713840.7981689787
speed_sdlog,-1033648.8287172966
