S0,S1,S2
399.1,3.655673718358768,24.26743259508907
387.05,3.769477297362399,26.337506667125474
375.1,3.9184022249438657,29.475226449275358
367.0,4.066586009473722,32.010590745959966
350.2,4.249445824135393,35.71751146204788
339.1,4.3894537896696235,37.48673010380622
330.2,4.521694015444015,41.70417505030181
322.29999999999995,4.645592948717948,45.244330714088775
316.34999999999997,4.799130797040049,48.22916666666666
310.1,5.015416818901474,50.69138455382152
301.34999999999997,5.156191020875036,54.56955008956868
294.25,5.2577545234036975,57.76296463222759
287.4,5.507153083137335,62.491984126984114
284.29999999999995,5.6665008960573475,67.34886290322581
279.15,5.861045081967213,72.36513157894736
271.15,6.048841450332546,75.13501033222062
264.1,6.296133915574963,83.76088322246859
256.05,6.5154088952654226,88.76565289834204
252.0,6.6959034267912765,93.51805813953487
249.05,6.858633156966489,100.60702441382644
245.14999999999998,7.095238095238094,106.40003532182104
241.0,7.331297878203361,112.60541279669764
237.0,7.594540722946694,117.8114230435126
231.05,7.7732074225318275,128.6598305752561
228.05,8.033467432950191,139.88450347183954
225.05,8.324757163671684,148.19323440643862
221.0,8.515614130189276,156.99081205673758
214.0,8.77801948051948,167.02334649886197
209.1,9.242777695019614,178.56823452067894
206.05,9.372894842868654,185.3146853146853
202.05,9.72993176801124,194.30818713450287
200.05,9.833405867182464,202.53621870571558
198.0,10.19781362410072,227.23236859614104
193.14999999999998,10.328092467850581,238.95701219512196
191.05,10.47593085106383,256.98264511678326
189.05,10.802455957411777,268.64229191860767
188.0,11.047415362213325,274.62678519382104
184.0,11.442373353596759,291.93773640661936
178.2,11.79051979915554,309.5828921619116
176.1,12.081484674329502,323.33818181818174
173.14999999999998,12.469372294372295,344.46845488546046
169.14999999999998,12.524224806201548,356.06248739919357
165.1,12.93069363466971,376.3110295821425
164.0,13.378606249999999,403.42678571428564
160.05,13.863882488479263,441.73876050420165
158.0,14.1931475029036,459.2442882733912
154.1,14.695169491525425,482.3981896551724
154.05,15.074248633879781,504.1783381808566
153.05,15.62039612305099,572.5330561330561
151.0,15.767464607464607,599.4392020592021
148.14999999999998,16.383324579831932,628.1149352401511
146.05,16.79353659665032,664.4560738766183
144.14999999999998,17.338679245283018,695.383773514966
