step,disc_med,disc_q05,disc_q95
22,50.693498169856895,36.98500825613412,99.4420988183536
23,49.504293301760995,36.21976007205902,95.26892698855573
24,48.53611846098074,33.268120894001264,94.69748805427388
25,39.306258347625864,21.167933805342884,89.22614084866719
26,38.108020355585936,19.79810806259466,80.66981819264949
27,39.30088034157486,21.147335416889103,83.39246418653964
28,29.816571338692487,10.371559192721488,78.23293979989586
29,27.923018183355733,8.972762369359815,75.64710044531573
30,29.841434024304085,10.058737076376016,75.55692825070744
31,23.567515488173456,6.03315312831743,71.35177137068818
32,29.168789460150645,9.653503480323359,69.73350292515224
33,26.60130935043479,7.584309620394363,65.54354639171054
34,26.106040374761626,6.525625492100874,66.17951151897003
35,27.5103664838985,9.842314174423272,64.44961861152072
36,24.569533127758902,8.592732917677356,61.90944832300285
37,23.801276836657376,8.228968061438529,57.83244927811097
38,24.68963059153624,9.002469493094841,57.739144446562975
39,21.94740315814209,7.625764035252073,49.80818145427609
40,24.362442156864603,9.514432850652863,54.49530006626532
41,24.964965161494497,9.335182294248364,58.14247912812837
42,26.109894111008785,8.739001408366596,55.115827720422935
43,24.520677156512377,9.17577215132408,47.26500275852249
44,25.588876009497174,8.538916529723947,53.2680765871364
45,27.5288280892511,9.63363783446262,59.84021529291324
46,32.128981336768824,11.767453876671734,64.74056362657093
47,36.317893765719326,15.676746438167298,67.4077803124917
48,35.06956316559875,13.205699109942378,64.33975947501298
49,38.63293586647382,9.583904251295388,66.2857459768954
50,40.63423848359662,14.954297889549954,72.20035137330981
51,41.709729724162635,13.172128354534015,75.01631722215824
52,38.30861749427514,12.672896870848325,67.9353185624035
53,41.078092441739,13.293706352871128,70.87612501336574
54,38.113147965145636,11.155519313271286,65.23998154495082
55,42.81224266852666,12.636935093666452,68.58077408429381
56,40.163731592111695,12.846822340850194,64.70398988146016
57,34.089874675528606,9.777066528737722,61.19917950015289
58,34.697840987402074,7.8667505227537795,63.67592346830175
59,39.48202053452296,7.683977329870208,67.96886598801807
60,41.87916410497691,8.727805600724462,69.88273170152328
61,47.845908023091155,20.84242713729758,89.36667075352547
62,52.875860581459506,22.44611112801392,102.38440352228376
63,52.90900571744481,22.44445093347985,116.74121146597595
64,48.107548521487004,13.419559855597845,100.56280729140916
65,50.253434236290886,20.170776112823503,95.51451377447898
66,57.22293404949501,20.327643719633915,109.03581139114279
67,52.588926120169816,18.07939063238396,113.25759808359086
68,60.84461785383189,21.840274200884046,134.73048205548062
69,79.30966982976742,26.719216838708896,142.9532565292146
70,128.8526477019147,31.348271578850227,208.79312184638607
71,135.241857940339,33.05990876875729,219.1631980039518
72,126.42803284724947,39.12329503638261,208.87683957364416
73,108.50384121358493,31.791138450304906,198.23113030692505
74,95.25054014071333,35.79142031259566,197.91780984970322
