model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_no_shed,6,-831.1772152216525,1674.354430443305,0.0,0.7310585038774163
Cell_num_prolif_cst_shed,7,-831.1772148414489,1676.3544296828977,1.9999992395926256,0.26894149612258367
no_prolif_no_shed,5,-953.9583186986107,1917.9166373972214,243.5622069539163,9.442584787846625e-54
