S0
272.95
266.9
260.95
252.95
246.0
242.0
237.95
233.95
229.95
224.95
221.95
216.95
212.95
208.95
203.0
198.95
195.95
190.95
188.0
184.0
181.9
176.95
172.95
171.0
169.0
166.95
162.95
160.95
157.9
155.8
150.95
148.95
146.0
144.9
141.95
140.0
138.9
136.9
133.95
133.0
130.0
127.95
126.95
124.95
122.0
121.95
120.9
118.0
116.0
115.0
113.0
111.95
109.95
