t,epsilon
-1,inf
0,4.037482344980771
1,2.750139454399283
2,1.9354282311947295
3,1.609959792045074
4,1.4604032542252254
5,1.3710912408124356
6,1.3082117694854807
7,1.2591125646622212
8,1.213093127613197
9,1.175585798384739
10,1.162089520290558
11,1.1298954339269218
