scenario,mode,model,AIC,BIC,max_loglik,abm::movement_v2.phase2.speed_dist.params.a,abm::phenotypes.proliferative.prolif_rate,ode::b,ode::N_0,noise::sigma0,noise::sigma1,noise::sigma2,ode::p,ode::s
abm_08_data_t71_phase2__a_0p9__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1532.4366695181288,1543.9569949841498,-761.2183347590644,0.9,0.005,0.0002346311677369133,1769.720254968938,0.11011842594230475,0.010174510062300681,0.18865577869570643,,
abm_08_data_t71_phase2__a_0p9__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1565.0372693559814,1578.8616599152065,-776.5186346779907,0.9,0.005,0.00023538753234681064,1657.4014748828035,0.10490458382696925,0.10324539294824084,0.02399791981933776,0.0015252432617419867,
abm_08_data_t71_phase2__a_0p9__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1207.603132017114,1223.7315876695432,-596.801566008557,0.9,0.005,0.00031204593841201845,1306.9587786258096,0.05424317763748124,0.011817703226223997,0.035745037245220525,0.0028888559465326544,0.006679150193157827
abm_09_data_t71_phase2__a_0p9__prolif_rate_0p006,data_t71_phase2,no_prolif_no_shed,1695.1226112363195,1706.6429367023404,-842.5613056181597,0.9,0.006,0.0002367365020946529,1841.3748790176135,0.10647079068896101,0.02434343635027726,0.21688677854755062,,
abm_09_data_t71_phase2__a_0p9__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_no_shed,1560.377603274359,1574.201993833584,-774.1888016371795,0.9,0.006,0.0002352616331477086,1626.459574903059,0.10478010198142687,0.010624150028086109,0.20044945216507168,0.0011346556237378052,
abm_09_data_t71_phase2__a_0p9__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_cst_shed,1261.1671260570974,1277.2955817095267,-623.5835630285487,0.9,0.006,0.00039657319754114815,899.4967021601461,0.011953741042297438,0.017901422458463614,0.13623162251135595,0.00699603530647053,0.014173086239093862
abm_10_data_t71_phase2__a_0p9__prolif_rate_0p007,data_t71_phase2,no_prolif_no_shed,1821.9357933268634,1833.4561187928844,-905.9678966634317,0.9,0.007,0.00023859626180098922,1925.6666317390436,0.1026920561618682,0.04897975360447696,0.23548963536455306,,
abm_10_data_t71_phase2__a_0p9__prolif_rate_0p007,data_t71_phase2,Cell_num_prolif_no_shed,1642.2858857513424,1656.1102763105675,-815.1429428756712,0.9,0.007,0.00023513654462170846,1282.3666637907827,0.09129062235172189,0.11123041093291514,0.034184709745694514,0.004706764635585014,
abm_10_data_t71_phase2__a_0p9__prolif_rate_0p007,data_t71_phase2,Cell_num_prolif_cst_shed,1271.1992867506283,1287.3277424030575,-628.5996433753141,0.9,0.007,0.00036742796193478685,824.6546281440761,0.013926387169366344,0.02145817099139709,0.09337733730069282,0.00814365805758476,0.011484155784620231
abm_11_data_t71_phase2__a_0p9__prolif_rate_0p008,data_t71_phase2,no_prolif_no_shed,1901.193808766764,1912.714134232785,-945.596904383382,0.9,0.008,0.00023916224305645396,2014.4954434483614,0.10275226501199988,0.07061681140560018,0.2526246612011123,,
abm_11_data_t71_phase2__a_0p9__prolif_rate_0p008,data_t71_phase2,Cell_num_prolif_no_shed,1625.0648813946223,1638.8892719538474,-806.5324406973111,0.9,0.008,0.00023389904201285593,1357.9530846894907,0.09769543417677952,0.014263268029683538,0.20087922268703812,0.003534705677481002,
abm_11_data_t71_phase2__a_0p9__prolif_rate_0p008,data_t71_phase2,Cell_num_prolif_cst_shed,1321.903425984637,1338.0318816370661,-653.9517129923184,0.9,0.008,0.00034814714057249493,746.9385592363174,0.01753609571682138,0.027312111835879102,0.07435265175910742,0.00943925265557775,0.00995970358694176
abm_12_data_t71_phase2__a_0p9__prolif_rate_0p009,data_t71_phase2,no_prolif_no_shed,1973.885729115313,1985.406054581334,-981.9428645576565,0.9,0.009,0.00024347683913678378,2099.507996654833,0.09467161688567152,0.09790799780940705,0.28802237652012175,,
abm_12_data_t71_phase2__a_0p9__prolif_rate_0p009,data_t71_phase2,Cell_num_prolif_no_shed,1682.6867299646647,1696.5111205238898,-835.3433649823323,0.9,0.009,0.000234683656056244,1007.6973755513712,0.07751964650278048,0.11294286155583387,0.042057430658123125,0.007720539961575224,
abm_12_data_t71_phase2__a_0p9__prolif_rate_0p009,data_t71_phase2,Cell_num_prolif_cst_shed,1327.756061639587,1343.8845172920162,-656.8780308197935,0.9,0.009,0.0003304082511428888,672.1051625215784,0.016680496940126917,0.028265484242907316,0.07002469176612866,0.01084142451050514,0.008186529459160277
abm_13_data_t71_phase2__a_0p9__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,2024.1812011052639,2035.7015265712848,-1007.0906005526319,0.9,0.01,0.00024541145741919384,2175.334497553871,0.09237988184071576,0.11717797117909058,0.31630814732450924,,
abm_13_data_t71_phase2__a_0p9__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1702.426654104867,1716.2510446640922,-845.2133270524336,0.9,0.01,0.00023382846287517292,903.9812279754057,0.07240749479059223,0.11287478159456424,0.047002566702902135,0.009081259562852374,
abm_13_data_t71_phase2__a_0p9__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1360.1151690627933,1376.2436247152225,-673.0575845313966,0.9,0.01,0.00032072827488689504,618.361018303502,0.016345816544311952,0.029715892058869788,0.07721817612928465,0.012008434479650068,0.0073861909017585384
abm_14_data_t71_phase2__a_1p1__prolif_rate_0p004,data_t71_phase2,no_prolif_no_shed,1553.7499207978249,1565.2702462638458,-771.8749603989124,1.1,0.004,0.00024042849840039563,1708.751793697626,0.0982866686992608,0.01440703410561709,0.18237137188743513,,
abm_14_data_t71_phase2__a_1p1__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_no_shed,1507.8243321785571,1521.6487227377822,-747.9121660892786,1.1,0.004,0.000241793563996837,1686.5792194588016,0.09394379548000842,0.10418401018145305,0.01908634285959255,0.001031154951601437,
abm_14_data_t71_phase2__a_1p1__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_cst_shed,1083.0820552760558,1099.210510928485,-534.5410276380279,1.1,0.004,0.00041828099343327855,1079.8535767736175,0.006986890826604006,0.009432515952531915,0.15859423728768532,0.0044968925901019766,0.015499992137861452
abm_15_data_t71_phase2__a_1p1__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1612.3787288617852,1623.8990543278062,-801.1893644308926,1.1,0.005,0.00024285258358895995,1772.164200836292,0.09216634858637134,0.018328990251842644,0.20263681326430003,,
abm_15_data_t71_phase2__a_1p1__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1562.1789065675541,1576.0032971267792,-775.0894532837771,1.1,0.005,0.00024209715357734112,1458.4863165362483,0.08468759377146036,0.10388368889003666,0.027345481924782748,0.002728274725548416,
abm_15_data_t71_phase2__a_1p1__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1155.3387293279327,1171.467184980362,-570.6693646639663,1.1,0.005,0.00038025435096864207,993.7769583191033,0.010133824365361399,0.01384680460590538,0.10824359466818946,0.005604917050001013,0.011788595163992978
abm_16_data_t71_phase2__a_1p1__prolif_rate_0p006,data_t71_phase2,no_prolif_no_shed,1750.824523578141,1762.344849044162,-870.4122617890705,1.1,0.006,0.0002436105778884886,1851.006645922982,0.09219189081933901,0.039204174344508805,0.21751416663029488,,
abm_16_data_t71_phase2__a_1p1__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_no_shed,1544.9828865501916,1558.8072771094166,-766.4914432750958,1.1,0.006,0.0002409023841487731,1496.7048589469132,0.08941419956403376,0.011212283510351634,0.19253817497108686,0.0019160463728543136,
abm_16_data_t71_phase2__a_1p1__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_cst_shed,1205.452845123576,1221.5813007760053,-595.726422561788,1.1,0.006,0.00036208586891246027,900.5905908270635,0.012831758715826721,0.01858878463568043,0.08050502990765254,0.006883914069472244,0.010262451995038639
abm_17_data_t71_phase2__a_1p1__prolif_rate_0p007,data_t71_phase2,no_prolif_no_shed,1848.2895539144395,1859.8098793804604,-919.1447769572197,1.1,0.007,0.0002456140094715434,1935.1818333100246,0.09153439346056502,0.06017988164878944,0.24476896029282397,,
abm_17_data_t71_phase2__a_1p1__prolif_rate_0p007,data_t71_phase2,Cell_num_prolif_no_shed,1605.2560403362163,1619.0804308954414,-796.6280201681082,1.1,0.007,0.00024100645601087637,1192.6989410064841,0.07851249166108644,0.11316475016985166,0.028981354935818354,0.0054291276211797385,
abm_17_data_t71_phase2__a_1p1__prolif_rate_0p007,data_t71_phase2,Cell_num_prolif_cst_shed,1174.6438002582122,1190.7722559106414,-580.3219001291061,1.1,0.007,0.0003529724477373111,809.6421806876357,0.011126905783803709,0.01932177245431891,0.06439380077141413,0.008297215640225855,0.00940441146805779
abm_18_data_t71_phase2__a_1p1__prolif_rate_0p008,data_t71_phase2,no_prolif_no_shed,1934.6328255319004,1946.1531509979213,-962.3164127659502,1.1,0.008,0.0002469070619751745,2021.9415461222202,0.08810286647118176,0.08485204440746347,0.28785772230025297,,
abm_18_data_t71_phase2__a_1p1__prolif_rate_0p008,data_t71_phase2,Cell_num_prolif_no_shed,1658.1169487648895,1671.9413393241146,-823.0584743824447,1.1,0.008,0.00023921018569727896,1026.4956965027648,0.07123291984144657,0.12353514731169532,0.03724407943777732,0.007305800794144437,
abm_18_data_t71_phase2__a_1p1__prolif_rate_0p008,data_t71_phase2,Cell_num_prolif_cst_shed,1270.6910914715447,1286.819547123974,-628.3455457357724,1.1,0.008,0.0003367378802646274,732.0421929234727,0.014256673490320206,0.02368691083674793,0.0698715330606265,0.009673515936754121,0.00811932066235996
abm_19_data_t71_phase2__a_1p1__prolif_rate_0p009,data_t71_phase2,no_prolif_no_shed,1987.0603370535237,1998.5806625195446,-988.5301685267618,1.1,0.009,0.00024946979107262314,2103.9740553121296,0.08155226394393392,0.11047696074912866,0.3115908164451667,,
abm_19_data_t71_phase2__a_1p1__prolif_rate_0p009,data_t71_phase2,Cell_num_prolif_no_shed,1665.1422714373512,1678.9666619965762,-826.5711357186756,1.1,0.009,0.0002383883856606051,904.1989404831337,0.062101430480028294,0.11731121509744119,0.043185904040561024,0.00879598601514806,
abm_19_data_t71_phase2__a_1p1__prolif_rate_0p009,data_t71_phase2,Cell_num_prolif_cst_shed,1313.8157783449028,1329.944233997332,-649.9078891724514,1.1,0.009,0.00031913233865459153,678.3270777032308,0.01463977087366859,0.025540887582998616,0.07731252400403046,0.01074856953595647,0.0066439145629181426
abm_20_data_t71_phase2__a_1p1__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,2034.4006020561326,2045.9209275221535,-1012.2003010280663,1.1,0.01,0.00025443855631689013,2188.892706835842,0.07632028578326125,0.133224687740219,0.33980291852385713,,
abm_20_data_t71_phase2__a_1p1__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1674.7950166292605,1688.6194071884856,-831.3975083146303,1.1,0.01,0.00023978706214044759,800.0323675871391,0.05383100498221344,0.11703764884781437,0.04764781685888415,0.010331197553394037,
abm_20_data_t71_phase2__a_1p1__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1365.1739978243281,1381.3024534767574,-675.5869989121641,1.1,0.01,0.00030840884342851207,632.8591330290112,0.015251021475202147,0.02701399006910932,0.08872315477272417,0.011784612228885128,0.005522419159095144
abm_21_data_t71_phase2__a_1p3__prolif_rate_0p004,data_t71_phase2,no_prolif_no_shed,1471.887751545279,1483.4080770112998,-730.9438757726394,1.3,0.004,0.00024684014374235793,1705.3387065733655,0.08593762918058849,0.008826877153390955,0.18832905826647167,,
abm_21_data_t71_phase2__a_1p3__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_no_shed,1505.525531904653,1519.349922463878,-746.7627659523265,1.3,0.004,0.00024725250278819947,1545.3235700431223,0.08016280046362464,0.10213638197173805,0.0216069294451274,0.0018211863593669067,
abm_21_data_t71_phase2__a_1p3__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_cst_shed,1144.532856302226,1160.6613119546553,-565.266428151113,1.3,0.004,0.000377678009166788,956.2266656425917,0.00960960982722219,0.05672310580072156,0.027933304728379956,0.005097960252514346,0.011348814400295787
abm_22_data_t71_phase2__a_1p3__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1668.713263204873,1680.233588670894,-829.3566316024366,1.3,0.005,0.00024913073535266263,1775.2159560965506,0.0829101865083762,0.02614376182057081,0.21944479303192135,,
abm_22_data_t71_phase2__a_1p3__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1536.2038893171148,1550.0282798763399,-762.1019446585574,1.3,0.005,0.0002476140526237047,1360.7212140513839,0.07373588270836638,0.11161207828039428,0.023292425396775573,0.003449872721251579,
abm_22_data_t71_phase2__a_1p3__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1095.0384299762832,1111.1668856287124,-540.5192149881416,1.3,0.005,0.00036104839767410533,993.3022635777581,0.010822631028935012,0.013812663282847365,0.0642030439434616,0.005563654804332239,0.009346780066404709
abm_23_data_t71_phase2__a_1p3__prolif_rate_0p006,data_t71_phase2,no_prolif_no_shed,1792.8574182626348,1804.3777437286558,-891.4287091313174,1.3,0.006,0.0002499415427341873,1858.483864011866,0.08063610551485904,0.05085551991868747,0.24093757589515563,,
abm_23_data_t71_phase2__a_1p3__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_no_shed,1587.7721189662377,1601.5965095254628,-787.8860594831189,1.3,0.006,0.00024619049124241954,1216.196128632804,0.06869629602648403,0.11504164678099948,0.030853944565093983,0.0049039453411536425,
abm_23_data_t71_phase2__a_1p3__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_cst_shed,1141.0958687468926,1157.2243243993219,-563.5479343734463,1.3,0.006,0.0003463816076410096,886.3649431213152,0.011779800982588937,0.017778180160707088,0.05616202286363145,0.0070309654683325925,0.00822573363635011
abm_24_data_t71_phase2__a_1p3__prolif_rate_0p007,data_t71_phase2,no_prolif_no_shed,1882.5895735021709,1894.1098989681918,-936.2947867510854,1.3,0.007,0.00025547379408279354,1944.9604607778303,0.07076604458074447,0.08138390970976855,0.2768093626317093,,
abm_24_data_t71_phase2__a_1p3__prolif_rate_0p007,data_t71_phase2,Cell_num_prolif_no_shed,1583.6705976674402,1597.4949882266653,-785.8352988337201,1.3,0.007,0.00024799202806179913,1016.9663431593458,0.054597110835935915,0.1203964302935339,0.03175188021152251,0.006997786191070324,
abm_24_data_t71_phase2__a_1p3__prolif_rate_0p007,data_t71_phase2,Cell_num_prolif_cst_shed,1176.0644528505406,1192.1929085029699,-581.0322264252703,1.3,0.007,0.0003290042831073483,815.800999893343,0.010480858448655971,0.017786795674040345,0.07032217132772155,0.008199473716418793,0.006417415065301303
abm_25_data_t71_phase2__a_1p3__prolif_rate_0p008,data_t71_phase2,no_prolif_no_shed,1954.1181529133173,1965.6384783793383,-972.0590764566587,1.3,0.008,0.00025806371451659227,2035.2953318253174,0.06896906298992499,0.10475165497803236,0.316084030811238,,
abm_25_data_t71_phase2__a_1p3__prolif_rate_0p008,data_t71_phase2,Cell_num_prolif_no_shed,1636.0753319771636,1649.8997225363887,-812.0376659885818,1.3,0.008,0.0002472089709198601,886.1318376708981,0.04914738497002705,0.1288297987453078,0.041492806261892584,0.008778484203340306,
abm_25_data_t71_phase2__a_1p3__prolif_rate_0p008,data_t71_phase2,Cell_num_prolif_cst_shed,1305.4246762993841,1321.5531319518134,-645.7123381496921,1.3,0.008,0.00031960236342542397,751.5689152740664,0.013319730535084721,0.021673763267640506,0.09614420303739589,0.009391118831168548,0.005626950227466446
abm_26_data_t71_phase2__a_1p3__prolif_rate_0p009,data_t71_phase2,no_prolif_no_shed,2002.4781339586054,2013.9984594246264,-996.2390669793027,1.3,0.009,0.0002591158630179056,2116.3308715106677,0.06440683988127376,0.1279448625620888,0.3518250697348328,,
abm_26_data_t71_phase2__a_1p3__prolif_rate_0p009,data_t71_phase2,Cell_num_prolif_no_shed,1647.5041416219858,1661.328532181211,-817.7520708109929,1.3,0.009,0.00024385187100709236,759.8569619475904,0.040969380230961076,0.13086136915237453,0.04847079631959576,0.0106053054896476,
abm_26_data_t71_phase2__a_1p3__prolif_rate_0p009,data_t71_phase2,Cell_num_prolif_cst_shed,1353.1124542556959,1369.240909908125,-669.5562271278479,1.3,0.009,0.00030458800898005737,701.9821497714667,0.013014381530843281,0.022397921632037715,0.12033695620998432,0.01036135949597184,0.004610640645520234
abm_27_data_t71_phase2__a_1p3__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,2039.7784885789633,2051.2988140449843,-1014.8892442894817,1.3,0.01,0.00026166177207195254,2201.0792867805776,0.06239405480148667,0.1478756977309261,0.3695776129073986,,
abm_27_data_t71_phase2__a_1p3__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1657.0521268230082,1670.8765173822333,-822.5260634115041,1.3,0.01,0.00024304766335490037,694.5543380911279,0.037059594997664556,0.12703014322924255,0.05382695256132429,0.011795133714856664,
abm_27_data_t71_phase2__a_1p3__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1400.1908134837083,1416.3192691361376,-693.0954067418542,1.3,0.01,0.0002962767480862004,652.1538795953794,0.014180654743882684,0.024592530052910972,0.1263724820129127,0.0114182342043544,0.003993703427055185
abm_28_data_t71_phase2__a_1p5__prolif_rate_0p004,data_t71_phase2,no_prolif_no_shed,1584.4427795198794,1595.9631049859004,-787.2213897599397,1.5,0.004,0.00025565063807558543,1710.745012575881,0.06702845441349993,0.0207610561140405,0.20536626912414982,,
abm_28_data_t71_phase2__a_1p5__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_no_shed,1464.9112582542875,1478.7356488135126,-726.4556291271438,1.5,0.004,0.00025476878784718874,1384.9779936066263,0.0590028278916156,0.10601386568054515,0.020099183472777643,0.002904328484383474,
abm_28_data_t71_phase2__a_1p5__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_cst_shed,929.0269433566285,945.1553990090578,-457.51347167831426,1.5,0.004,0.00034666401235943677,1071.9691881826454,0.00794889107775541,0.009950435314551831,0.041958347661100376,0.004459612295552237,0.007332776836961758
abm_29_data_t71_phase2__a_1p5__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1724.1744895453485,1735.6948150113694,-857.0872447726742,1.5,0.005,0.00025944999990144276,1788.301338456856,0.06665952946731316,0.04323382746863268,0.22473631971595504,,
abm_29_data_t71_phase2__a_1p5__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1521.079705373384,1534.9040959326092,-754.539852686692,1.5,0.005,0.00025663026936980846,1250.1585457867359,0.055851262093132834,0.11028562089874534,0.026302000060532665,0.00426499897189826,
abm_29_data_t71_phase2__a_1p5__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1021.6258326099373,1037.7542882623666,-503.81291630496867,1.5,0.005,0.0003433949964923503,970.5377760984508,0.009314495616294438,0.01256043779953838,0.04675213318952079,0.005792636930547951,0.006800629156871975
abm_30_data_t71_phase2__a_1p5__prolif_rate_0p006,data_t71_phase2,no_prolif_no_shed,1831.2845001433766,1842.8048256093975,-910.6422500716883,1.5,0.006,0.00026044094710461855,1869.9454705422888,0.06397205607762224,0.06745599290150874,0.27374967925736116,,
abm_30_data_t71_phase2__a_1p5__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_no_shed,1565.8437349638073,1579.6681255230324,-776.9218674819036,1.5,0.006,0.0002543947397351975,1055.2080030396594,0.04877642786300695,0.12661247479650128,0.0313963697613416,0.006368799000378944,
abm_30_data_t71_phase2__a_1p5__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_cst_shed,1171.6933378074575,1187.8217934598867,-578.8466689037288,1.5,0.006,0.00033208253307935457,899.8758699453118,0.01068112570502501,0.015154053306779332,0.08241627031306717,0.006893709733179616,0.005976002328883933
abm_31_data_t71_phase2__a_1p5__prolif_rate_0p007,data_t71_phase2,no_prolif_no_shed,1896.497649550225,1908.017975016246,-943.2488247751126,1.5,0.007,0.0002644411688127655,1962.3821397654544,0.055870708038486164,0.09755870713575733,0.3009440978678602,,
abm_31_data_t71_phase2__a_1p5__prolif_rate_0p007,data_t71_phase2,Cell_num_prolif_no_shed,1490.9068508368725,1504.7312413960976,-739.4534254184363,1.5,0.007,0.00025572460005153985,1121.815644746276,0.04880617559153814,0.009670075565576548,0.22129208138945466,0.004999294542927443,
