scenario,mode,model,AIC,BIC,max_loglik,abm::movement_v2.phase2.speed_dist.params.a,abm::phenotypes.proliferative.prolif_rate,ode::b,ode::N_0,noise::sigma0,noise::sigma1,noise::sigma2,ode::p,ode::s
abm_00_data_t71_phase2__a_0p7__prolif_rate_0p004,data_t71_phase2,no_prolif_no_shed,1616.636202298098,1628.156527764119,-803.318101149049,0.7,0.004,0.00022666303939551682,1859.4804994517908,0.12639630147545156,0.09659335061246853,0.036957396672998015,,
abm_00_data_t71_phase2__a_0p7__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_no_shed,1618.636202298098,1632.460592857323,-803.318101149049,0.7,0.004,0.00022666304263601342,1859.48047627058,0.12639630310236988,0.09659335244585515,0.03695739642476112,0.0,
abm_00_data_t71_phase2__a_0p7__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_cst_shed,1211.5325461646273,1227.6610018170566,-598.7662730823137,0.7,0.004,0.0002911606890349983,1648.062345004349,0.0837619449615713,0.011272508056321915,0.03011846258054263,0.0003412101173237859,0.0057735509277746415
abm_01_data_t71_phase2__a_0p7__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1634.3274920931804,1645.8478175592013,-812.1637460465902,0.7,0.005,0.00022776533514997236,1776.7524001559286,0.12471325860060462,0.020848175430989508,0.17099341052621655,,
abm_01_data_t71_phase2__a_0p7__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1542.9771288153247,1556.8015193745498,-765.4885644076624,0.7,0.005,0.00022916978507195267,1795.7497591667347,0.12115839256169542,0.1016038683721187,0.019220598873700426,0.0007558643734724646,
abm_01_data_t71_phase2__a_0p7__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1280.4505250871605,1296.5789807395897,-633.2252625435802,0.7,0.005,0.0004720718116677956,980.9639707044134,0.010308710871456425,0.015417351969470259,0.24920535895425755,0.0059251084777358605,0.022916148192087905
abm_02_data_t71_phase2__a_0p7__prolif_rate_0p006,data_t71_phase2,no_prolif_no_shed,1600.3083211355647,1611.8286466015857,-795.1541605677824,0.7,0.006,0.0002283379849616424,1837.9204863747761,0.12210399283747089,0.012822516644884294,0.20092819446109259,,
abm_02_data_t71_phase2__a_0p7__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_no_shed,1601.661099211196,1615.485489770421,-794.830549605598,0.7,0.006,0.0002283569110056404,1609.941254270151,0.11564956084635344,0.10697530429142542,0.025317292460526972,0.0021784454575624686,
abm_02_data_t71_phase2__a_0p7__prolif_rate_0p006,data_t71_phase2,Cell_num_prolif_cst_shed,1326.9488004739405,1343.0772561263698,-656.4744002369703,0.7,0.006,0.0004344720278518053,899.7382773955361,0.012773361650446633,0.01916456827828163,0.19727911154291677,0.007100120612634703,0.019071730867512533
abm_03_data_t71_phase2__a_0p7__prolif_rate_0p007,data_t71_phase2,no_prolif_no_shed,1754.7596717731171,1766.279997239138,-872.3798358865586,0.7,0.007,0.00023044739164319777,1915.170020726815,0.12001045983929734,0.03136396013203823,0.21263744358178274,,
abm_03_data_t71_phase2__a_0p7__prolif_rate_0p007,data_t71_phase2,Cell_num_prolif_no_shed,1613.7718624938361,1627.5962530530612,-800.8859312469181,0.7,0.007,0.0002287901330178835,1455.376655504395,0.11103131351526685,0.10674891627127983,0.02569848606198599,0.00347424216894636,
abm_03_data_t71_phase2__a_0p7__prolif_rate_0p007,data_t71_phase2,Cell_num_prolif_cst_shed,1331.1750479210718,1347.303503573501,-658.5875239605359,0.7,0.007,0.00040945463868421946,816.451167749567,0.01270402827787654,0.0215391605082492,0.162679045646854,0.008385534038390426,0.016378883620417686
abm_04_data_t71_phase2__a_0p7__prolif_rate_0p008,data_t71_phase2,no_prolif_no_shed,1867.007631581309,1878.52795704733,-928.5038157906545,0.7,0.008,0.0002317349415407178,2006.9102979308082,0.11580915341685236,0.057635489576534624,0.23065798756946565,,
abm_04_data_t71_phase2__a_0p7__prolif_rate_0p008,data_t71_phase2,Cell_num_prolif_no_shed,1629.1006984215342,1642.9250889807593,-808.5503492107671,0.7,0.008,0.00022772915904531053,1462.086128087079,0.11174040850806218,0.014175299153266175,0.19216408205839325,0.002838420805419155,
abm_04_data_t71_phase2__a_0p7__prolif_rate_0p008,data_t71_phase2,Cell_num_prolif_cst_shed,1371.914446268162,1388.0429019205912,-678.957223134081,0.7,0.008,0.0003136330987568848,932.0874261411652,0.04364929466430649,0.022033900508546676,0.054926257401346254,0.007232038275249528,0.007641027870215847
abm_05_data_t71_phase2__a_0p7__prolif_rate_0p009,data_t71_phase2,no_prolif_no_shed,1946.182418485253,1957.702743951274,-968.0912092426265,0.7,0.009,0.0002344078699259524,2092.2829595431376,0.1114796060008086,0.08165560067951194,0.25916344110923917,,
abm_05_data_t71_phase2__a_0p7__prolif_rate_0p009,data_t71_phase2,Cell_num_prolif_no_shed,1694.927966286627,1708.752356845852,-841.4639831433135,0.7,0.009,0.00022800940001938648,1147.6270139757087,0.0971677469070481,0.10769522281825175,0.04072744278748283,0.006423127012235226,
abm_05_data_t71_phase2__a_0p7__prolif_rate_0p009,data_t71_phase2,Cell_num_prolif_cst_shed,1393.219057840215,1409.3475134926443,-689.6095289201076,0.7,0.009,0.0003404178019692626,693.1552081690915,0.02219122352852837,0.03255918964542717,0.07577900558690998,0.010501057387710445,0.010070243354368286
abm_06_data_t71_phase2__a_0p7__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,2005.153264906709,2016.67359037273,-997.5766324533545,0.7,0.01,0.00023705272610203423,2169.4928226143934,0.10568626641573535,0.1044986537718281,0.2899354963455932,,
abm_06_data_t71_phase2__a_0p7__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_no_shed,1646.5294612231776,1660.3538517824027,-817.2647306115888,0.7,0.01,0.00022857637956121907,1187.2492839559284,0.09762851169088545,0.015046860428752019,0.19062095241447785,0.005447398593778166,
abm_06_data_t71_phase2__a_0p7__prolif_rate_0p01,data_t71_phase2,Cell_num_prolif_cst_shed,1385.9780474192667,1402.106503071696,-685.9890237096333,0.7,0.01,0.0003292936663599922,620.6600566152213,0.018421266146316312,0.032014108291745245,0.08058046828835737,0.011946772749082095,0.009018804491695715
abm_07_data_t71_phase2__a_0p9__prolif_rate_0p004,data_t71_phase2,no_prolif_no_shed,1653.5920252872272,1665.1123507532482,-821.7960126436136,0.9,0.004,0.0002329789139454975,1721.8872400373039,0.11219881002416829,0.029357190741840605,0.16302502607441502,,
abm_07_data_t71_phase2__a_0p9__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_no_shed,1545.5583230557102,1559.3827136149353,-766.7791615278551,0.9,0.004,0.00023478486302441154,1813.744536006351,0.10950889939096739,0.10276753966347438,0.022686439650622878,0.00033201036884552263,
abm_07_data_t71_phase2__a_0p9__prolif_rate_0p004,data_t71_phase2,Cell_num_prolif_cst_shed,1262.670945452399,1278.7994011048283,-624.3354727261996,0.9,0.004,0.00047109319331992903,886.569920175378,0.008837909895655928,0.14939537010634116,0.02821229205275063,0.005054407643802934,0.02336874770599756
