mode,override.movement_v2.phase2.speed_dist.params.a,override.phenotypes.proliferative.prolif_rate,scenario
data_t71_phase2,1.3,0.007,abm_24_data_t71_phase2__a_1p3__prolif_rate_0p007
data_t71_phase2,1.3,0.008,abm_25_data_t71_phase2__a_1p3__prolif_rate_0p008
data_t71_phase2,1.3,0.009,abm_26_data_t71_phase2__a_1p3__prolif_rate_0p009
data_t71_phase2,1.3,0.01,abm_27_data_t71_phase2__a_1p3__prolif_rate_0p01
data_t71_phase2,1.5,0.004,abm_28_data_t71_phase2__a_1p5__prolif_rate_0p004
data_t71_phase2,1.5,0.005,abm_29_data_t71_phase2__a_1p5__prolif_rate_0p005
data_t71_phase2,1.5,0.006,abm_30_data_t71_phase2__a_1p5__prolif_rate_0p006
data_t71_phase2,1.5,0.007,abm_31_data_t71_phase2__a_1p5__prolif_rate_0p007
data_t71_phase2,1.5,0.008,abm_32_data_t71_phase2__a_1p5__prolif_rate_0p008
data_t71_phase2,1.5,0.009,abm_33_data_t71_phase2__a_1p5__prolif_rate_0p009
data_t71_phase2,1.5,0.01,abm_34_data_t71_phase2__a_1p5__prolif_rate_0p01
data_t71_phase2,1.7,0.004,abm_35_data_t71_phase2__a_1p7__prolif_rate_0p004
data_t71_phase2,1.7,0.005,abm_36_data_t71_phase2__a_1p7__prolif_rate_0p005
data_t71_phase2,1.7,0.006,abm_37_data_t71_phase2__a_1p7__prolif_rate_0p006
data_t71_phase2,1.7,0.007,abm_38_data_t71_phase2__a_1p7__prolif_rate_0p007
data_t71_phase2,1.7,0.008,abm_39_data_t71_phase2__a_1p7__prolif_rate_0p008
data_t71_phase2,1.7,0.009,abm_40_data_t71_phase2__a_1p7__prolif_rate_0p009
data_t71_phase2,1.7,0.01,abm_41_data_t71_phase2__a_1p7__prolif_rate_0p01
data_t71_phase2,1.9,0.004,abm_42_data_t71_phase2__a_1p9__prolif_rate_0p004
data_t71_phase2,1.9,0.005,abm_43_data_t71_phase2__a_1p9__prolif_rate_0p005
data_t71_phase2,1.9,0.006,abm_44_data_t71_phase2__a_1p9__prolif_rate_0p006
data_t71_phase2,1.9,0.007,abm_45_data_t71_phase2__a_1p9__prolif_rate_0p007
data_t71_phase2,1.9,0.008,abm_46_data_t71_phase2__a_1p9__prolif_rate_0p008
data_t71_phase2,1.9,0.009,abm_47_data_t71_phase2__a_1p9__prolif_rate_0p009
data_t71_phase2,1.9,0.01,abm_48_data_t71_phase2__a_1p9__prolif_rate_0p01
data_t71_phase2,2.1,0.004,abm_49_data_t71_phase2__a_2p1__prolif_rate_0p004
data_t71_phase2,2.1,0.005,abm_50_data_t71_phase2__a_2p1__prolif_rate_0p005
data_t71_phase2,2.1,0.006,abm_51_data_t71_phase2__a_2p1__prolif_rate_0p006
