step,num_clusters,mean_cluster_size,mean_squared_cluster_size
71,95.29,15.543526026832302,486.10313205804914
72,91.34,16.404632623391084,550.4873648069456
73,89.2,16.98988000612031,602.007593357017
74,87.74,17.460456664120443,637.2961785818648
75,86.19,17.974654494345224,676.6985411440655
76,85.08,18.408618266479117,715.0018810455872
77,83.89,18.880364242034624,752.229827900363
78,82.81,19.332966234059885,792.2726577257127
79,81.54,19.848879078650675,835.6103938498834
80,80.57,20.305783514219335,876.9991691996665
81,79.72,20.746115367987116,913.0586907083625
82,78.98,21.17313842913734,950.8505461560903
83,78.3,21.58645909422921,987.179238834255
84,77.5,22.04909724409427,1028.3252571998173
85,76.62,22.54151932749319,1075.5686790145678
86,75.91,22.995998348369405,1124.0317309596292
87,75.11,23.497592567173378,1175.9671406722246
88,74.37,23.983790623259893,1225.1278048431382
89,73.81,24.42215282531283,1270.260604369335
90,73.12,24.914483765194618,1317.2222156867924
91,72.43,25.422776807408045,1369.6653919561668
92,71.73,25.93511775477195,1426.2232434900611
93,71.07,26.456839613885787,1482.3201655697433
94,70.39,27.00901600161226,1540.8853651656643
95,69.8,27.520342476067718,1598.8002645817585
96,69.16,28.07269499367627,1660.8495125860436
97,68.71,28.550405240037257,1722.9508640835948
98,68.06,29.12289173498476,1789.306678614147
99,67.6,29.622612834430647,1847.7998856864413
100,67.12,30.14944921322386,1917.2724264652488
101,66.52,30.730868812133398,1993.6138634199458
102,65.81,31.380104378907888,2071.991116118833
103,65.26,31.97248854916189,2145.194923979996
104,64.75,32.56769494622079,2222.060632936269
105,64.36,33.10242583476243,2293.6445203614458
106,63.74,33.77264661929524,2383.4522119779226
107,63.09,34.47216048010384,2477.561093858113
108,62.69,35.04517978767715,2561.8671152154075
109,62.11,35.73537302945301,2666.2811081182713
110,61.81,36.268382182963435,2736.827714870146
111,61.42,36.862450174570476,2821.37264132106
112,60.95,37.512671941360125,2919.5326799228046
113,60.46,38.19878045887451,3024.744356897907
114,60.06,38.83648842248635,3121.298886237996
115,59.55,39.558556730733685,3223.9764495143627
116,58.93,40.36432599294396,3353.797792076661
117,58.63,40.96607339748537,3446.207426204024
118,58.31,41.60399719664465,3553.630098318417
119,57.88,42.3234190742835,3672.6837393034493
120,57.38,43.10328796565059,3800.2172953268
121,56.94,43.856104148631864,3929.450211051725
122,56.47,44.64118287838074,4079.7063197115663
123,56.06,45.38513043425265,4202.97147477352
124,55.62,46.18867408292824,4330.038981618173
125,55.28,46.89427148081485,4454.662020279386
126,54.97,47.583521472760275,4581.460202781974
127,54.57,48.385504672725254,4730.460721897276
128,54.26,49.096451325921755,4861.701095779465
129,53.82,49.97162833193063,5034.164047962224
130,53.54,50.69843529140492,5159.80845104663
131,53.24,51.447763455728655,5297.9688408025495
132,52.8,52.357849510442726,5469.046108985086
133,52.56,53.07041614577088,5594.187561808969
134,52.3,53.81184917631022,5740.708408738333
135,52.08,54.51710864020545,5873.035133266101
136,51.85,55.235504728982214,6001.342759427156
137,51.38,56.25571107931542,6193.900118879698
138,50.98,57.20185836590142,6408.976848884668
139,50.71,58.034466320158224,6567.032536678383
140,50.5,58.777069164355154,6721.8577692018625
141,50.19,59.63447878188369,6904.060740038703
142,49.91,60.47180088655023,7078.8495190376325
143,49.59,61.39341428499738,7280.273354871262
144,49.22,62.38195582594146,7497.361264584935
