model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_no_shed,6,-869.0869932844157,1750.1739865688314,0.0,0.7310586350167059
Cell_num_prolif_cst_shed,7,-869.0869935712076,1752.1739871424152,2.0000005735837476,0.2689413649832941
