merge_prob,invasive_speed,proliferative_speed,dt,rep,n_final,mean_size_final,mean_speed_final,total_cells_final,n_mean_over_time,mean_size_over_time,mean_speed_over_time
0.9,2.0,1.0,1.0,4,21,90.57142857142857,1.3333333333333333,1902.0,68.33554817275747,34.71610609462057,1.3804047763791123
0.9,3.0,1.0,1.0,0,13,152.23076923076923,1.6153846153846154,1979.0,57.57475083056478,52.77363473010937,1.6975943546431391
0.9,3.0,1.0,1.0,1,12,129.41666666666666,2.466740970829106,1553.0,56.880398671096344,47.43788340981952,2.09198736860623
0.9,3.0,1.0,1.0,2,16,118.9375,1.25,1903.0,60.714285714285715,45.25028213832823,1.604439952921772
0.9,3.0,1.0,1.0,3,13,154.53846153846155,1.4615384615384615,2009.0,56.63787375415282,55.40016801763516,1.5317989564737866
0.9,3.0,1.0,1.0,4,9,196.66666666666666,1.8888888888888888,1770.0,57.85049833887043,46.29583418492647,1.7372339621936703
0.9,4.0,1.0,1.0,0,8,174.0,1.75,1392.0,49.51827242524917,59.18973717930189,1.9654481567892874
0.9,4.0,1.0,1.0,1,12,132.83333333333334,2.25,1594.0,53.47176079734219,56.81592911925236,2.2391646032738133
0.9,4.0,1.0,1.0,2,11,155.36363636363637,2.090909090909091,1709.0,52.77408637873754,53.028605393198546,2.0663786977223544
0.9,4.0,1.0,1.0,3,14,141.14285714285714,1.4285714285714286,1976.0,56.49169435215947,54.47037860873964,1.6290742829686329
0.9,4.0,1.0,1.0,4,13,147.92307692307693,1.2307692307692308,1923.0,52.02325581395349,61.44377409474678,1.49081616654589
