scenario,mode,model,AIC,BIC,max_loglik,abm::phenotypes.proliferative.prolif_rate,ode::b,ode::N_0,noise::sigma0,noise::sigma1,noise::sigma2,ode::p,ode::s
abm_00_data_t71_phase2__prolif_rate_0p001,data_t71_phase2,no_prolif_no_shed,1466.786442531626,1478.306767997647,-728.393221265813,0.001,0.000272622594982525,1532.247641369165,0.04135428150034657,0.020947013572790742,0.18050996257629875,,
abm_00_data_t71_phase2__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_no_shed,1795.3803108863349,1809.20470144556,-891.6901554431674,0.001,0.0002482286526018916,500.42286558077933,0.01648918128888869,0.2441096776774953,0.35292682318394114,0.011579933839982438,
abm_00_data_t71_phase2__prolif_rate_0p001,data_t71_phase2,Cell_num_prolif_cst_shed,951.5185060327615,967.6469616851907,-468.75925301638074,0.001,0.0003470097363077576,1314.3092231371654,0.010626719954018057,0.009850343405628459,0.04472412568769035,0.0014467665965848418,0.0053587336046074276
abm_01_data_t71_phase2__prolif_rate_0p002,data_t71_phase2,no_prolif_no_shed,1399.5856187548643,1411.1059442208852,-694.7928093774321,0.002,0.0002753849461238996,1584.2492693150307,0.036541912840236994,0.011498113604716137,0.20881514789747038,,
abm_01_data_t71_phase2__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_no_shed,1708.913790631871,1722.7381811910961,-848.4568953159355,0.002,0.0002511245050991275,499.3081600063239,0.009834308522304692,0.23757179173261034,0.2995521457235324,0.012216063376522404,
abm_01_data_t71_phase2__prolif_rate_0p002,data_t71_phase2,Cell_num_prolif_cst_shed,1007.376595884573,1023.5050515370023,-496.6882979422865,0.002,0.00032790269002426004,1248.2094105549593,0.008384704924824085,0.008164883121858875,0.08812469385179911,0.002270113399324151,0.003788599703735741
abm_02_data_t71_phase2__prolif_rate_0p005,data_t71_phase2,no_prolif_no_shed,1738.5310793158192,1750.0514047818401,-864.2655396579096,0.005,0.0002850325102866009,1840.6526091059234,0.023455973792005654,0.0936649663001386,0.2767411072718275,,
abm_02_data_t71_phase2__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_no_shed,1313.3628024179238,1327.187192977149,-650.6814012089619,0.005,0.0002751634442342164,889.0836096494485,0.009613243597639671,0.12366496532967357,0.02853080719457514,0.007664375934523407,
abm_02_data_t71_phase2__prolif_rate_0p005,data_t71_phase2,Cell_num_prolif_cst_shed,1180.1967643032328,1196.325219955662,-583.0983821516164,0.005,0.000295416714896941,995.6015856046513,0.008207618355372655,0.009537048324943748,0.17382463546133634,0.005474934707070495,0.0013291146628290095
abm_03_data_t71_phase2__prolif_rate_0p01,data_t71_phase2,no_prolif_no_shed,1883.5414289963117,1895.0617544623326,-936.7707144981558,0.01,0.0002961607823355157,2053.964916286509,0.008696862366200441,0.20195999052057775,0.5436994646503532,,
