model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_no_shed,6,-819.8450737372165,1651.690147474433,0.0,0.5761170351057578
Cell_num_prolif_cst_shed,7,-819.8450740571122,1653.6901481142245,2.0000006397915513,0.2119415451248386
Cell_num_prolif_SA_shed,7,-819.8450746485747,1653.6901492971494,2.000001822716513,0.21194141976940362
Cell_num_prolif_Cell_num_shed,7,-904.6763042246278,1823.3526084492555,171.66246097482258,3.051272123654074e-38
SA_prolif_no_shed,6,-936.912604632847,1885.825209265694,234.13506179126102,8.293312665367073e-52
SA_prolif_SA_shed,7,-936.9126046328466,1887.8252092656933,236.13506179126034,3.050939228796324e-52
SA_prolif_cst_shed,7,-936.9126046328471,1887.8252092656942,236.13506179126125,3.0509392287949368e-52
SA_prolif_Cell_num_shed,7,-936.9126046328471,1887.8252092656942,236.13506179126125,3.0509392287949368e-52
cst_prolif_no_shed,6,-943.7683397770578,1899.5366795541156,247.84653207968267,8.736150285393825e-55
no_prolif_no_shed,5,-944.9820881606631,1899.9641763213262,248.27402884689332,7.054891727342704e-55
cst_prolif_cst_shed,7,-943.768339777057,1901.536679554114,249.84653207968108,3.2138500849829745e-55
cst_prolif_Cell_num_shed,7,-943.7683397770575,1901.536679554115,249.846532079682,3.213850084981513e-55
cst_prolif_SA_shed,7,-943.7683397770577,1901.5366795541154,249.84653207968245,3.2138500849807823e-55
no_prolif_cst_shed,6,-944.9820881606631,1901.9641763213262,250.27402884689332,2.5953496261798656e-55
no_prolif_SA_shed,6,-944.9820881606638,1901.9641763213276,250.27402884689468,2.595349626178095e-55
no_prolif_Cell_num_shed,6,-944.9820881606641,1901.9641763213283,250.27402884689536,2.59534962617721e-55
