model,k,max_loglik,AIC,delta_AIC,akaike_weight
Cell_num_prolif_cst_shed,7,-814.0424263698674,1642.0848527397347,0.0,1.0
no_prolif_no_shed,5,-962.3172742514289,1934.6345485028578,292.54969576312305,2.9760534288651814e-64
Cell_num_prolif_no_shed,6,-1265.781575835947,2543.563151671894,901.4782989321593,1.7639026354767217e-196
